Time,Revenue,Operational_Expenses,Economic_Viability
1,100000.0,50000.0,0.047619047619047616
2,104040.40404040404,51515.15151515151,0.09526100002290479
3,108080.80808080808,53030.30303030303,0.14281569610367797
4,112121.21212121213,54545.454545454544,0.19018341434927116
5,116161.61616161616,56060.606060606064,0.23727412839459774
6,120202.0202020202,57575.757575757576,0.28400680980012394
7,124242.42424242424,59090.90909090909,0.33030877524799546
8,128282.82828282828,60606.06060606061,0.3761150755065025
9,132323.2323232323,62121.21212121212,0.4213679236652267
10,136363.63636363635,63636.36363636364,0.46601616028637277
11,140404.0404040404,65151.51515151515,0.5100147532529784
12,144444.44444444444,66666.66666666667,0.5533243302223442
13,148484.84848484848,68181.81818181818,0.5959107417135572
14,152525.25252525252,69696.9696969697,0.6377446529717717
15,156565.65656565657,71212.12121212122,0.6788011628593343
16,160606.0606060606,72727.27272727274,0.7190594481252452
17,164646.46464646465,74242.42424242424,0.7585024315001662
18,168686.8686868687,75757.57575757576,0.7971164721545181
19,172727.2727272727,77272.72727272728,0.8348910771424711
20,176767.67676767678,78787.87878787878,0.8718186325350782
21,180808.0808080808,80303.0303030303,0.9078941530217194
22,184848.48484848486,81818.18181818182,0.9431150488306441
23,188888.88888888888,83333.33333333334,0.9774809088869711
24,192929.29292929292,84848.48484848485,1.0109932991902475
25,196969.69696969696,86363.63636363637,1.043655575453788
26,201010.101010101,87878.78787878787,1.0754727091047251
27,205050.50505050505,89393.93939393939,1.106451125797177
28,209090.9090909091,90909.09090909091,1.1365985556413596
29,213131.31313131313,92424.24242424243,1.1659238943990302
30,217171.71717171714,93939.39393939395,1.1944370749404591
31,221212.12121212122,95454.54545454546,1.2221489483003958
32,225252.52525252523,96969.69696969698,1.2490711737103168
33,229292.9292929293,98484.84848484848,1.275216117021789
34,233333.3333333333,100000.0,1.3005967569711498
35,237373.73737373736,101515.15151515152,1.3252265987690506
36,241414.1414141414,103030.30303030304,1.3491195945298038
37,245454.54545454544,104545.45454545456,1.3722900700850704
38,249494.94949494948,106060.60606060606,1.3947526577542824
39,253535.35353535353,107575.75757575757,1.4165222346704538
40,257575.75757575757,109090.90909090909,1.4376138662847373
41,261616.1616161616,110606.06060606061,1.4580427546963695
42,265656.56565656565,112121.21212121213,1.477824191476545
43,269696.9696969697,113636.36363636365,1.4969735146753993
44,273737.37373737374,115151.51515151515,1.5155060697206766
45,277777.77777777775,116666.66666666667,1.5334371739349426
46,281818.18181818177,118181.81818181819,1.550782084415379
47,285858.58585858584,119696.9696969697,1.567555969036377
48,289898.9898989899,121212.12121212122,1.583773880350354
49,293939.3939393939,122727.27272727274,1.5994507321765252
50,297979.79797979794,124242.42424242424,1.6146012786808177
51,302020.202020202,125757.57575757576,1.6292400957627613
52,306060.6060606061,127272.72727272728,1.6433815645770826
53,310101.0101010101,128787.8787878788,1.6570398570289022
54,314141.4141414141,130303.0303030303,1.6702289230919407
55,318181.8181818182,131818.18181818182,1.682962479809003
56,322222.22222222225,133333.33333333334,1.6952540018432816
57,326262.62626262626,134848.48484848486,1.707116713457724
58,330303.0303030303,136363.63636363635,1.7185635818078835
59,334343.4343434343,137878.7878787879,1.729607311441346
60,338383.83838383836,139393.9393939394,1.740260339904032
61,342424.24242424243,140909.0909090909,1.75053483436043
62,346464.64646464644,142424.24242424243,1.7604426891411546
63,350505.05050505046,143939.39393939395,1.769995524137186
64,354545.45454545453,145454.54545454547,1.7792046839657039
65,358585.8585858586,146969.69696969696,1.7880812378376822
66,362626.2626262626,148484.8484848485,1.796635980062296
67,366666.6666666666,150000.0,1.804879431127793
68,370707.0707070707,151515.15151515152,1.8128218393027862
69,374747.4747474747,153030.30303030304,1.8204731827059506
70,378787.8787878788,154545.45454545456,1.8278431717958845
71,382828.2828282828,156060.60606060608,1.834941252236426
72,386868.68686868687,157575.75757575757,1.8417766080960205
73,390909.0909090909,159090.90909090912,1.8483581653428294
74,394949.49494949495,160606.0606060606,1.8546945956001575
75,398989.89898989897,162121.21212121213,1.860794320129482
76,403030.30303030304,163636.36363636365,1.866665514010891
77,407070.70707070705,165151.51515151514,1.872316110493099
78,411111.11111111107,166666.6666666667,1.8777538054874099
79,415151.51515151514,168181.81818181818,1.8829860621820538
80,419191.91919191915,169696.96969696973,1.8880201157552428
81,423232.3232323232,171212.12121212122,1.892862978167083
82,427272.72727272724,172727.27272727274,1.8975214430121394
83,431313.1313131313,174242.42424242425,1.9020020904160204
84,435353.5353535353,175757.57575757575,1.9063112919607763
85,439393.9393939394,177272.7272727273,1.910455215625272
86,443434.3434343434,178787.87878787878,1.9144398307279344
87,447474.7474747475,180303.0303030303,1.9182709128604467
88,451515.1515151515,181818.18181818182,1.9219540488020466
89,455555.55555555556,183333.33333333334,1.9254946414050826
90,459595.9595959596,184848.48484848486,1.928897914443428
91,463636.3636363636,186363.63636363638,1.9321689174162076
92,467676.76767676766,187878.78787878787,1.9353125303001
93,471717.1717171717,189393.9393939394,1.938333468244222
94,475757.57575757575,190909.0909090909,1.9412362862022847
95,479797.97979797976,192424.24242424243,1.9440253834973502
96,483838.38383838383,193939.39393939395,1.9467050083151045
97,487878.78787878784,195454.54545454547,1.9492792621221062
98,491919.1919191919,196969.696969697,1.9517521040059602
99,495959.5959595959,198484.84848484848,1.9541273549348417
100,500000.0,200000.0,1.9564087019342038
