Unnamed: 0,ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,DATA_INTENSITY,PROMPT_VOLUME,OUTPUT_VOLUME,CORRECTNESS
0,1,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:11:08,2024-September-04 12:11:09,0.6227991580963135,0.000285864,1.4989020824432373,2,177,57,100%
1,2,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:14:29,2024-September-04 12:14:30,0.6967511177062988,0.000459909,1.562800645828247,2,177,47,100%
2,3,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:14:35,2024-September-04 12:14:36,0.5707573890686035,0.000279188,1.558391571044922,2,177,57,100%
3,4,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:14:41,2024-September-04 12:14:42,0.5569005012512207,0.001508713,1.4213488101959229,2,177,47,100%
4,5,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:14:48,2024-September-04 12:15:09,20.727439880371094,0.00066328,21.59412121772766,2,177,47,100%
5,6,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:15:56,2024-September-04 12:15:58,0.6217954158782959,0.000455379,1.5788378715515137,2,177,47,100%
6,7,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:16:02,2024-September-04 12:16:04,0.5575714111328125,0.000478506,1.4025590419769287,2,177,47,100%
7,8,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:16:08,2024-September-04 12:16:10,0.668978214,0.000310421,1.4872736930847168,2,176,46,100%
8,9,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:16:15,2024-September-04 12:16:36,20.71087765693665,0.000558853,21.58612179756165,2,176,46,100%
9,10,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:16:41,2024-September-04 12:16:42,0.5822632312774658,0.000355721,1.4919216632843018,2,176,46,100%
10,11,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:18:00,2024-September-04 12:18:04,1.6346802711486816,0.000355482,3.926389694213867,2,253,381,100%
11,12,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:18:09,2024-September-04 12:18:13,1.876772165298462,0.001433611,3.9202935695648193,2,253,322,100%
12,13,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:18:17,2024-September-04 12:18:21,1.4142591953277588,0.000761271,3.613815546035767,2,253,247,100%
13,14,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:18:25,2024-September-04 12:18:29,1.203321933746338,0.001025438,3.3510515689849854,2,254,277,100%
