Time,Energy_Consumption_kWh,CO2_Emissions_kg,Material_Sustainability_Score,Environmental_Impact_Score
0,0.0,0.0,0.5,1.0
1,0.02,0.01,0.505,0.9899
2,0.06,0.03,0.51,0.9797
3,0.12,0.06,0.515,0.9694
4,0.2,0.1,0.52,0.9590000000000001
5,0.30000000000000004,0.15000000000000002,0.525,0.9485000000000001
6,0.42000000000000004,0.21000000000000002,0.53,0.9379000000000001
7,0.56,0.28,0.535,0.9272
8,0.7200000000000001,0.36000000000000004,0.54,0.9164
9,0.9000000000000001,0.45000000000000007,0.545,0.9055
10,1.1,0.55,0.55,0.8945
11,1.32,0.66,0.555,0.8834
12,1.56,0.78,0.56,0.8722
13,1.82,0.91,0.5650000000000001,0.8609
14,2.1,1.05,0.5700000000000001,0.8495
15,2.4,1.2,0.5750000000000001,0.8380000000000001
16,2.7199999999999998,1.3599999999999999,0.5800000000000001,0.8264
17,3.0599999999999996,1.5299999999999998,0.5850000000000001,0.8147
18,3.4199999999999995,1.7099999999999997,0.5900000000000001,0.8029
19,3.7999999999999994,1.8999999999999997,0.5950000000000001,0.7909999999999999
20,4.199999999999999,2.0999999999999996,0.6000000000000001,0.7789999999999999
21,4.619999999999999,2.3099999999999996,0.6050000000000001,0.7668999999999999
22,5.06,2.53,0.6100000000000001,0.7546999999999999
23,5.52,2.76,0.6150000000000001,0.7424
24,6.0,3.0,0.6200000000000001,0.73
25,6.5,3.25,0.6250000000000001,0.7175
26,7.02,3.51,0.6300000000000001,0.7049
27,7.56,3.78,0.6350000000000001,0.6921999999999999
28,8.12,4.06,0.6400000000000001,0.6793999999999999
29,8.7,4.35,0.6450000000000001,0.6664999999999999
30,9.299999999999999,4.6499999999999995,0.6500000000000001,0.6534999999999999
31,9.919999999999998,4.959999999999999,0.6550000000000001,0.6403999999999999
32,10.559999999999999,5.279999999999999,0.6600000000000001,0.6271999999999999
33,11.219999999999999,5.609999999999999,0.6650000000000001,0.6138999999999999
34,11.899999999999999,5.949999999999999,0.6700000000000002,0.6004999999999999
35,12.599999999999998,6.299999999999999,0.6750000000000002,0.587
36,13.319999999999999,6.659999999999999,0.6800000000000002,0.5733999999999999
37,14.059999999999999,7.029999999999999,0.6850000000000002,0.5596999999999999
38,14.819999999999999,7.409999999999999,0.6900000000000002,0.5458999999999998
39,15.599999999999998,7.799999999999999,0.6950000000000002,0.5319999999999998
40,16.4,8.2,0.7000000000000002,0.5179999999999998
41,17.22,8.61,0.7050000000000002,0.5038999999999998
42,18.06,9.03,0.7100000000000002,0.4896999999999998
43,18.919999999999998,9.459999999999999,0.7150000000000002,0.4753999999999998
44,19.799999999999997,9.899999999999999,0.7200000000000002,0.4609999999999998
45,20.699999999999996,10.349999999999998,0.7250000000000002,0.4464999999999998
46,21.619999999999997,10.809999999999999,0.7300000000000002,0.4318999999999998
47,22.56,11.28,0.7350000000000002,0.4171999999999998
48,23.52,11.76,0.7400000000000002,0.4023999999999998
49,24.5,12.25,0.7450000000000002,0.3874999999999998
50,25.5,12.75,0.7500000000000002,0.3724999999999998
51,26.52,13.26,0.7550000000000002,0.3573999999999998
52,27.56,13.78,0.7600000000000002,0.3421999999999998
53,28.619999999999997,14.309999999999999,0.7650000000000002,0.3268999999999998
