ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
42,mistral-small,advancements,2024-September-02 18:13:58,2024-September-02 18:14:08,3.087082863,2.988587379,6.075671673,20,626,895,2.67718482,100.0%,false,None,
1,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:02:08,2024-September-02 18:02:16,1.082751274,3.075085402,4.157837391,5,530,229,3.357378483,100.0%,false,None,
2,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:02:19,2024-September-02 18:02:27,1.390145302,3.004716635,4.394862652,5,530,311,3.10002327,100.0%,false,None,
3,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:02:30,2024-September-02 18:02:38,1.236360788,2.890019178,4.12638092,5,530,299,3.019543886,100.0%,false,None,
4,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:02:41,2024-September-02 18:02:49,1.23442626,3.014904499,4.249331951,5,530,287,2.830571413,100.0%,false,None,
5,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:02:52,2024-September-02 18:03:00,1.166522026,3.092658281,4.259182215,5,530,238,3.039988518,100.0%,false,None,
6,gpt-3.5-turbo,advancements,2024-September-02 18:05:01,2024-September-02 18:05:10,2.402423859,2.955780745,5.358205557,5,625,693,2.347793341,100.0%,false,None,
7,gpt-3.5-turbo,advancements,2024-September-02 18:05:13,2024-September-02 18:05:22,2.248350382,3.133600473,5.381952286,5,625,610,2.501483917,100.0%,false,None,
8,gpt-3.5-turbo,advancements,2024-September-02 18:05:24,2024-September-02 18:05:33,2.525502682,3.04131341,5.566817045,5,625,776,2.534981251,100.0%,false,None,
9,gpt-3.5-turbo,advancements,2024-September-02 18:05:36,2024-September-02 18:05:45,2.429197788,2.869452238,5.298650742,5,625,823,2.523923635,100.0%,false,None,
10,gpt-3.5-turbo,advancements,2024-September-02 18:05:48,2024-September-02 18:05:56,1.702288151,3.106672764,4.808961868,5,625,527,2.345908642,100.0%,false,None,
11,gpt-4,hyperloop_specifications,2024-September-02 18:06:24,2024-September-02 18:06:35,3.369731188,3.048574686,6.418307066,5,530,237,2.994248629,100.0%,false,None,
12,gpt-4,hyperloop_specifications,2024-September-02 18:06:38,2024-September-02 18:06:48,3.38910675,2.775973558,6.165081739,5,530,264,3.252656221,100.0%,false,None,
13,gpt-4,hyperloop_specifications,2024-September-02 18:06:51,2024-September-02 18:07:00,3.174365044,2.896180391,6.070546389,5,530,322,2.808228731,100.0%,false,None,
14,mistral-small,hyperloop_specifications,2024-September-02 18:07:03,2024-September-02 18:07:10,1.135239363,2.723161697,3.858402014,5,530,281,2.69895792,100.0%,false,None,
14,gpt-4,hyperloop_specifications,2024-September-02 18:07:03,2024-September-02 18:07:13,3.619706869,2.797921658,6.417629242,5,530,311,2.784428596,100.0%,false,None,
15,mistral-small,hyperloop_specifications,2024-September-02 18:07:13,2024-September-02 18:07:21,0.9917607307,2.807833672,3.799595594,5,530,218,3.068186522,100.0%,false,None,
15,gpt-4,hyperloop_specifications,2024-September-02 18:07:16,2024-September-02 18:07:26,3.785399675,2.966520309,6.751921177,5,530,231,2.893443584,100.0%,false,None,
16,mistral-small,hyperloop_specifications,2024-September-02 18:07:23,2024-September-02 18:07:31,1.097828388,2.966729403,4.064558506,5,530,275,2.795606136,100.0%,false,None,
17,mistral-small,hyperloop_specifications,2024-September-02 18:07:34,2024-September-02 18:07:42,1.765958786,2.902000666,4.667960882,5,530,318,2.849387646,100.0%,false,None,
18,mistral-small,hyperloop_specifications,2024-September-02 18:07:45,2024-September-02 18:07:53,1.502322674,2.811658621,4.313982487,5,530,251,2.676488876,100.0%,false,None,
17,gpt-4,advancements,2024-September-02 18:07:43,2024-September-02 18:08:00,11.168267012,2.945317268,14.113584995,5,625,877,2.766726255,100.0%,false,None,
19,gpt-4,advancements,2024-September-02 18:08:03,2024-September-02 18:08:18,8.440315247,2.8271451,11.267461777,5,625,727,2.369064808,100.0%,false,None,
19,mistral-small,advancements,2024-September-02 18:08:14,2024-September-02 18:08:22,2.101674318,2.802769661,4.904445171,5,625,546,2.127417803,100.0%,false,None,
20,mistral-small,advancements,2024-September-02 18:08:24,2024-September-02 18:08:33,2.319417,2.927010536,5.24642849,5,625,696,2.253893375,100.0%,false,None,
21,mistral-small,advancements,2024-September-02 18:08:35,2024-September-02 18:08:39,0,0,0,0,0,0,2.289398193,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
20,gpt-4,advancements,2024-September-02 18:08:21,2024-September-02 18:08:40,13.454847813,2.951957226,16.406806469,5,625,924,2.241665363,100.0%,false,None,
