MODEL,DATA_INTENSITY,TOTAL_EXPERIMENTS,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,DATA_INTENSITY_MEAN,PROMPT_VOLUME_MEAN,LOAD_TO_STAGING_TIME_MEAN,MODEL_WORK_TIME_SUCCESS,EXPERIMENT_TIME_TOTAL_SUCCESS,CORRECTNESS_IN_SUCCESS,SUCCESS_OUTPUT_VOLUME_MEAN,SUCCESS_EXPERIMENTS,FAILED_EXPERIMENTS,SUCCESS_RATE,TASK_DIFFICULTY
gemini-1.5-flash,5,10,1.39,2.79,4.17,5,577.5,2.62,1.39,4.17,100,599.7,10,0,100,1
gemini-1.5-flash,10,10,2.27,2.84,5.12,10,566.62,2.77,2.27,5.12,100,949.88,10,0,100,2
gemini-1.5-flash,20,10,3.38,2.71,6.09,20,541.31,2.6,3,5.93,100,1663.33,9,1,90,3
gpt-3.5-turbo,5,10,1.74,3.02,4.76,5,577.5,2.76,1.74,4.76,100,479.3,10,0,100,1
gpt-3.5-turbo,10,10,6.46,2.95,9.41,10,594.33,2.79,6.46,9.41,100,987.33,6,0,100,2
gpt-3.5-turbo,20,10,8,1.8,9.8,20,360.37,2.64,4.17,7.02,100,1244.67,6,4,60,3
gpt-4,5,10,6.31,2.89,9.2,5,577.5,2.68,6.31,9.2,100,490.8,10,0,100,1
gpt-4,10,10,9.01,3.33,12.34,10,578.5,2.79,9.01,12.34,100,770.7,10,0,100,2
gpt-4,20,10,14.54,3.09,17.63,20,578.5,2.75,14.54,17.63,100,1396.4,10,0,100,3
mistral-small,5,10,1.65,2.83,4.48,5,572.22,2.6,1.65,4.48,100,407.22,9,0,100,1
mistral-small,10,10,3,2.81,5.82,10,578.5,2.68,3,5.82,100,840.38,8,0,100,2
mistral-small,20,10,7.15,1.53,8.67,20,299.47,2.7,4.68,7.58,100,1476.9,10,5,5,3
TOTAL_PER_DATA_INTENSITY_5,5,40,2.77,2.88,5.65,5,576.18,2.66,2.77,5.65,100,494.26,9.75,0,100,1
TOTAL_PER_DATA_INTENSITY_10,10,40,5.18,2.98,8.17,10,579.49,2.76,5.18,8.17,100,887.07,8.5,0,100,2
TOTAL_PER_DATA_INTENSITY_20,20,40,8.27,2.28,10.55,20,444.91,2.67,6.6,9.54,100,1445.32,8.75,2.5,63.75,3
TOTAL,,120,5.41,2.72,8.12,11.67,533.53,2.7,4.85,7.79,100,942.22,9,0.83,87.92,2
