ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
181,mistral-small,2024-September-02 12:32:34,2024-September-02 12:32:45,0,0,0,50,0,0,0,1.119006634,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
1,gpt-3.5-turbo,2024-September-02 10:33:32,2024-September-02 10:33:36,0.9610598087,2.800863266,3.761924505,5,563,71,0,1.13726306,100.0%,false,None,
2,gpt-3.5-turbo,2024-September-02 10:33:40,2024-September-02 10:33:44,0.9227950573,2.625550985,3.548346996,5,563,71,0,1.049824953,100.0%,false,None,
3,gpt-3.5-turbo,2024-September-02 10:33:48,2024-September-02 10:33:52,1.126904249,2.750335693,3.877241373,5,563,71,0,1.070351839,100.0%,false,None,
4,gpt-3.5-turbo,2024-September-02 10:33:57,2024-September-02 10:34:01,1.054161072,3.021069527,4.075231791,5,563,71,0,1.047205448,100.0%,false,None,
5,gpt-3.5-turbo,2024-September-02 10:34:06,2024-September-02 10:34:30,21.219088316,3.034507275,24.253596544,5,563,71,0,1.310415268,100.0%,false,None,
6,gpt-3.5-turbo,2024-September-02 10:34:35,2024-September-02 10:34:39,1.001544952,2.817958832,3.819504499,5,563,71,0,1.075011253,100.0%,false,None,
7,gpt-3.5-turbo,2024-September-02 10:34:43,2024-September-02 10:35:07,21.158122301,2.93518877,24.093312502,5,563,71,0,1.236517668,100.0%,false,None,
8,gpt-3.5-turbo,2024-September-02 10:35:12,2024-September-02 10:35:16,1.033365488,2.868129969,3.901496887,5,563,71,0,1.184605837,100.0%,false,None,
9,gpt-3.5-turbo,2024-September-02 10:35:21,2024-September-02 10:35:45,21.082212687,3.004866362,24.08708024,5,563,71,0,1.135484219,100.0%,false,None,
10,gpt-3.5-turbo,2024-September-02 10:35:50,2024-September-02 10:36:15,21.136309385,3.004284382,24.140594959,5,563,71,0,1.45107913,100.0%,false,None,
11,gpt-4,2024-September-02 10:39:38,2024-September-02 10:39:44,2.660452843,3.063637733,5.724091768,5,563,71,0,1.085932016,100.0%,false,None,
12,gpt-4,2024-September-02 10:39:49,2024-September-02 10:39:55,3.095324516,2.940975904,6.036301613,5,563,76,0,1.192307234,100.0%,false,None,
13,gpt-4,2024-September-02 10:39:59,2024-September-02 10:40:05,2.798454523,3.054079056,5.852534533,5,563,76,0,1.143062115,100.0%,false,None,
14,gpt-4,2024-September-02 10:40:10,2024-September-02 10:40:16,2.996035337,2.792998075,5.789034605,5,563,76,0,1.161912918,100.0%,false,None,
15,gpt-4,2024-September-02 10:40:20,2024-September-02 10:40:26,3.050152063,2.815830946,5.865983963,5,563,75,0,1.387579441,100.0%,false,None,
16,gpt-4,2024-September-02 10:40:31,2024-September-02 10:40:57,23.037956715,2.816061974,25.85401988,5,563,76,0,1.060297489,100.0%,false,None,
17,gpt-4,2024-September-02 10:41:02,2024-September-02 10:41:07,2.747501373,2.830901384,5.57840395,5,563,74,0,1.124046803,100.0%,false,None,
18,gpt-4,2024-September-02 10:41:12,2024-September-02 10:41:38,22.433004141,3.097620487,25.530625582,5,563,71,0,1.19639039,100.0%,false,None,
19,gpt-4,2024-September-02 10:41:43,2024-September-02 10:41:49,2.949176788,2.676964998,5.62614274,5,563,76,0,1.345716953,100.0%,false,None,
20,gpt-4,2024-September-02 10:41:54,2024-September-02 10:42:34,0,0,0,5,0,0,0,1.240101576,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
21,mistral-small,2024-September-02 10:44:46,2024-September-02 10:44:50,1.226306915,2.87035203,4.096660376,5,563,67,0,1.121454954,100.0%,false,None,
22,mistral-small,2024-September-02 10:44:55,2024-September-02 10:44:59,0.8172605038,2.76520586,3.582468033,5,563,67,0,1.917567968,100.0%,false,None,
23,mistral-small,2024-September-02 10:45:04,2024-September-02 10:45:08,0.9842336178,2.768428802,3.752663612,5,563,67,0,1.359363317,100.0%,false,None,
24,mistral-small,2024-September-02 10:45:13,2024-September-02 10:45:17,1.066611767,2.97031045,4.036923409,5,563,67,0,1.223478317,100.0%,false,None,
25,mistral-small,2024-September-02 10:45:22,2024-September-02 10:45:26,0.9944810867,2.70048666,3.694969177,5,563,67,0,1.320049286,100.0%,false,None,
26,mistral-small,2024-September-02 10:45:31,2024-September-02 10:45:35,0.9222617149,2.992244959,3.914507627,5,563,67,0,1.117260933,100.0%,false,None,
27,mistral-small,2024-September-02 10:45:39,2024-September-02 10:45:43,1.095044613,2.897129297,3.992175102,5,563,67,0,1.187350273,100.0%,false,None,
28,mistral-small,2024-September-02 10:45:48,2024-September-02 10:45:52,0.9773483276,2.642335892,3.619685411,5,563,67,0,1.141839027,100.0%,false,None,
29,mistral-small,2024-September-02 10:45:56,2024-September-02 10:46:00,0.9266109467,2.768032074,3.694644451,5,563,67,0,1.298666716,100.0%,false,None,
30,mistral-small,2024-September-02 10:46:05,2024-September-02 10:46:09,1.165733576,2.722238302,3.887972832,5,563,67,0,1.230763435,100.0%,false,None,
31,gemini-1.5-flash,2024-September-02 10:47:53,2024-September-02 10:47:57,0.7727348804,2.849208593,3.621944666,5,563,77,0,1.234544516,100.0%,false,None,
32,gemini-1.5-flash,2024-September-02 10:48:02,2024-September-02 10:48:03,0,0,0,5,0,0,0,1.14750123,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
33,gemini-1.5-flash,2024-September-02 10:48:08,2024-September-02 10:48:11,0.777064085,2.641259909,3.418324709,5,563,67,0,1.107131004,100.0%,false,None,
34,gemini-1.5-flash,2024-September-02 10:48:16,2024-September-02 10:48:20,0.6517295837,2.649897337,3.301627636,5,563,67,0,1.088224888,100.0%,false,None,
35,gemini-1.5-flash,2024-September-02 10:48:24,2024-September-02 10:48:25,0,0,0,5,0,0,0,1.163931608,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
36,gemini-1.5-flash,2024-September-02 10:48:30,2024-September-02 10:48:34,0.8020710945,2.781201839,3.583273888,5,563,67,0,1.201519966,100.0%,false,None,
37,gemini-1.5-flash,2024-September-02 10:48:38,2024-September-02 10:48:43,0.9747712612,3.34686017,4.321632624,5,563,77,0,1.29720974,100.0%,false,None,
38,gemini-1.5-flash,2024-September-02 10:48:47,2024-September-02 10:48:51,0.7595403194,2.802173376,3.561714411,5,563,67,0,1.148352623,100.0%,false,None,
39,gemini-1.5-flash,2024-September-02 10:48:56,2024-September-02 10:48:59,0.5724494457,2.841339827,3.413790226,5,563,67,0,1.054676771,100.0%,false,None,
40,gemini-1.5-flash,2024-September-02 10:49:04,2024-September-02 10:49:07,0.8190636635,2.736809492,3.555874348,5,563,77,0,1.182770967,100.0%,false,None,
41,gpt-3.5-turbo,2024-September-02 10:50:18,2024-September-02 10:50:25,4.074433327,2.934376717,7.008811712,10,565,117,0,1.262898207,100.0%,false,None,
42,gpt-3.5-turbo,2024-September-02 10:50:30,2024-September-02 10:50:35,1.434451818,2.928407192,4.362860203,10,565,117,0,1.045624256,100.0%,false,None,
43,gpt-3.5-turbo,2024-September-02 10:50:39,2024-September-02 10:50:44,1.62304616,2.989465714,4.612512589,10,565,117,0,1.137592077,100.0%,false,None,
44,gpt-3.5-turbo,2024-September-02 10:50:48,2024-September-02 10:50:53,1.419809103,2.656219721,4.076030493,10,565,117,0,1.075845718,100.0%,false,None,
45,mistral-small,2024-September-02 10:51:05,2024-September-02 10:51:09,1.292928696,2.785536289,4.078465939,10,565,103,0,1.201117754,100.0%,false,None,
46,mistral-small,2024-September-02 10:51:14,2024-September-02 10:51:18,1.144737244,3.19830513,4.343043327,10,565,103,0,1.16499877,100.0%,false,None,
45,gpt-3.5-turbo,2024-September-02 10:50:57,2024-September-02 10:51:21,21.46455121,2.58607769,24.050629616,10,565,116,0,1.136999369,100.0%,false,None,
47,mistral-small,2024-September-02 10:51:23,2024-September-02 10:51:27,1.165319443,2.618398905,3.783720016,10,565,103,0,1.203149319,100.0%,false,None,
47,gpt-3.5-turbo,2024-September-02 10:51:26,2024-September-02 10:51:31,1.50267458,2.764405966,4.267081738,10,565,117,0,1.164325714,100.0%,false,None,
48,mistral-small,2024-September-02 10:51:31,2024-September-02 10:51:35,1.180703402,2.689415216,3.870119333,10,565,103,0,1.211144686,100.0%,false,None,
49,mistral-small,2024-September-02 10:51:40,2024-September-02 10:51:44,1.394233227,2.921270609,4.315504551,10,565,103,0,1.113064766,100.0%,false,None,
50,mistral-small,2024-September-02 10:51:49,2024-September-02 10:51:53,1.242825031,2.723726511,3.966553211,10,565,103,0,1.107154131,100.0%,false,None,
48,gpt-3.5-turbo,2024-September-02 10:51:35,2024-September-02 10:52:00,21.696354866,2.874634743,24.570990801,10,565,117,0,0.9260776043,100.0%,false,None,
51,mistral-small,2024-September-02 10:51:58,2024-September-02 10:52:02,1.346189022,2.813090801,4.159280777,10,565,103,0,1.216562986,100.0%,false,None,
51,gpt-3.5-turbo,2024-September-02 10:52:04,2024-September-02 10:52:08,1.434494019,2.650766611,4.085261822,10,565,116,0,0.952095747,100.0%,false,None,
52,mistral-small,2024-September-02 10:52:07,2024-September-02 10:52:11,1.191347599,2.68608737,3.877436399,10,565,103,0,1.124465704,100.0%,false,None,
53,mistral-small,2024-September-02 10:52:15,2024-September-02 10:52:19,1.427892685,2.757808924,4.185702562,10,565,126,0,1.196543455,100.0%,false,None,
54,mistral-small,2024-September-02 10:52:24,2024-September-02 10:52:29,1.225023031,3.366002083,4.591026545,10,565,103,0,1.206347466,100.0%,false,None,
52,gpt-3.5-turbo,2024-September-02 10:52:13,2024-September-02 10:52:37,21.407485723,2.843823433,24.25131011,10,565,116,0,1.266559362,100.0%,false,None,
55,gpt-3.5-turbo,2024-September-02 10:52:42,2024-September-02 10:52:47,1.582856178,2.81507802,4.397935152,10,565,117,0,1.101496935,100.0%,false,None,
56,gpt-4,2024-September-02 10:54:46,2024-September-02 10:54:53,4.138321161,2.953673363,7.091995478,10,565,127,0,1.389617682,100.0%,false,None,
57,gpt-4,2024-September-02 10:54:59,2024-September-02 10:55:07,5.011985302,2.990267277,8.002253771,10,565,117,0,1.11232543,100.0%,false,None,
58,gpt-4,2024-September-02 10:55:12,2024-September-02 10:55:17,0,0,0,10,0,0,0,1.142557383,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
59,gpt-4,2024-September-02 10:55:22,2024-September-02 10:55:30,4.513372898,3.613554478,8.126929045,10,565,127,0,1.178587675,100.0%,false,None,
60,gpt-4,2024-September-02 10:55:35,2024-September-02 10:55:41,3.889076471,2.855586052,6.744663954,10,565,127,0,1.158640146,100.0%,false,None,
61,gemini-1.5-flash,2024-September-02 10:56:01,2024-September-02 10:56:05,1.043748617,2.702247858,3.745997667,10,565,113,0,1.309846401,100.0%,false,None,
61,gpt-4,2024-September-02 10:55:46,2024-September-02 10:56:13,23.759435892,3.508580685,27.268017292,10,565,127,0,1.275737286,100.0%,false,None,
62,gemini-1.5-flash,2024-September-02 10:56:11,2024-September-02 10:56:16,1.260167599,4.169184685,5.429353714,10,565,123,0,1.419560194,100.0%,false,None,
63,gemini-1.5-flash,2024-September-02 10:56:21,2024-September-02 10:56:22,0,0,0,10,0,0,0,1.041140795,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
62,gpt-4,2024-September-02 10:56:19,2024-September-02 10:56:27,4.766240358,2.868550539,7.634791851,10,565,117,0,1.120366573,100.0%,false,None,
64,gemini-1.5-flash,2024-September-02 10:56:27,2024-September-02 10:56:31,0.9131813049,2.820146561,3.733329296,10,565,123,0,1.076004028,100.0%,false,None,
