MODEL,DATA_INTENSITY,TOTAL_EXPERIMENTS,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,DATA_INTENSITY_MEAN,PROMPT_VOLUME_MEAN,LOAD_TO_STAGING_TIME_MEAN,MODEL_WORK_TIME_SUCCESS,EXPERIMENT_TIME_TOTAL_SUCCESS,CORRECTNESS_IN_SUCCESS,SUCCESS_OUTPUT_VOLUME_MEAN,SUCCESS_EXPERIMENTS,FAILED_EXPERIMENTS,SUCCESS_RATE,TASK_DIFFICULTY
gemini-1.5-flash,5,10,0.81,2.26,3.08,5.0,563.0,1.16,0.77,3.6,100.0,70.75,8,2,80.0,1.0
gemini-1.5-flash,10,10,1.27,2.1,3.36,10.0,565.0,1.12,1.38,4.37,100.0,121.57,7,3,70.0,2.0
gemini-1.5-flash,20,10,1.69,1.17,2.86,20.0,570.0,1.15,1.73,4.66,100.0,217.5,4,6,40.0,3.0
gpt-3.5-turbo,5,10,9.07,2.89,11.96,5.0,563.0,1.17,9.07,11.96,100.0,71.0,10,0,100.0,1.0
gpt-3.5-turbo,10,10,7.76,2.8,10.57,10.0,565.0,1.11,7.76,10.57,100.0,116.7,10,0,100.0,2.0
gpt-3.5-turbo,20,11,8.45,2.74,11.19,20.0,570.0,1.22,8.49,11.51,100.0,222.0,10,1,90.91,3.0
gpt-4,5,10,10.58,2.61,13.19,5.0,563.0,1.19,7.31,10.21,100.0,74.56,9,1,90.0,1.0
gpt-4,10,10,7.39,2.49,9.88,10.0,565.0,1.23,7.11,10.22,100.0,123.75,8,2,80.0,2.0
gpt-4,20,10,8.66,3.01,11.67,20.0,570.0,1.19,8.66,11.67,100.0,222.3,10,0,100.0,3.0
mistral-small,5,10,1.02,2.81,3.83,5.0,563.0,1.29,1.02,3.83,100.0,67.0,10,0,100.0,1.0
mistral-small,10,10,1.26,2.86,4.12,10.0,565.0,1.17,1.26,4.12,100.0,105.3,10,0,100.0,2.0
mistral-small,20,10,2.24,2.29,4.53,20.0,570.0,1.29,2.17,5.03,100.0,196.62,8,2,80.0,3.0
TOTAL_PER_DATA_INTENSITY_5,5,40,5.37,2.64,8.01,5.0,563.0,1.2,4.67,7.53,100.0,70.73,37,3,92.5,1.0
TOTAL_PER_DATA_INTENSITY_10,10,40,4.42,2.56,6.98,10.0,565.0,1.16,4.48,7.41,100.0,116.03,35,5,87.5,2.0
TOTAL_PER_DATA_INTENSITY_20,20,41,5.34,2.31,7.65,20.0,570.0,1.21,6.12,9.09,100.0,215.19,32,9,78.05,3.0
TOTAL,TOTAL,121,5.04,2.5,7.55,11.74,566.03,1.19,5.05,7.97,100.0,130.42,104,17,85.95,
