ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,INPUT_DF_VOLUME,PROMPT_VOLUME,OUTPUT_VOLUME,CORRECTNESS
1,gpt-3.5-turbo,2024-September-02 09:34:16,2024-September-02 09:34:19,0.472965241,1.284685135,1.757651567,100,1032,1596,27,100.00%
2,gpt-3.5-turbo,2024-September-02 09:34:24,2024-September-02 09:34:27,0.525351763,1.443986177,1.969339371,100,1032,1596,33,100.00%
3,gpt-3.5-turbo,2024-September-02 09:34:31,2024-September-02 09:34:34,0.515206337,1.255545139,1.770752668,100,1032,1596,33,100.00%
4,gpt-3.5-turbo,2024-September-02 09:34:39,2024-September-02 09:34:41,0.46965456,1.108487844,1.578143835,100,1032,1596,33,100.00%
5,gpt-3.5-turbo,2024-September-02 09:34:47,2024-September-02 09:35:10,20.61684775,1.152620316,21.76946926,100,1032,1596,34,100.00%
6,gpt-3.5-turbo,2024-September-02 09:35:15,2024-September-02 09:35:38,21.47868037,1.245340824,22.7240231,100,1032,1596,33,100.00%
7,gpt-3.5-turbo,2024-September-02 09:35:43,2024-September-02 09:35:46,0.474167824,1.006626129,1.480795622,100,1032,1596,33,100.00%
8,gpt-3.5-turbo,2024-September-02 09:35:52,2024-September-02 09:36:16,21.28315949,1.16537571,22.44853663,100,1032,1596,20,100.00%
9,gpt-3.5-turbo,2024-September-02 09:36:22,2024-September-02 09:36:24,0.446295977,1.175810814,1.622108221,100,1032,1596,10,100.00%
10,gpt-3.5-turbo,2024-September-02 09:36:34,2024-September-02 09:36:57,20.65092444,1.083394766,21.73431993,100,1032,1596,27,100.00%
11,gpt-4,2024-September-02 09:37:50,2024-September-02 09:37:56,4.015166044,1.300076962,5.315244436,100,1032,1596,321,100.00%
12,gpt-4,2024-September-02 09:38:02,2024-September-02 09:38:05,0.803151846,1.126260281,1.929413557,100,1032,1596,20,100.00%
