MODEL,DATA_INTENSITY,TOTAL_EXPERIMENTS,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,DATA_INTENSITY_MEAN,PROMPT_VOLUME_MEAN,MODEL_WORK_TIME_SUCCESS,EXPERIMENT_TIME_TOTAL_SUCCESS,CORRECTNESS_IN_SUCCESS,SUCCESS_OUTPUT_VOLUME_MEAN,SUCCESS_EXPERIMENTS,FAILED_EXPERIMENTS,SUCCESS_RATE,TASK_DIFFICULTY
gemini-1.5-flash,5,10,1.03,2.86,4.81,5,798.2,1.03,4.81,94,45.9,10,0,100,1
gemini-1.5-flash,10,10,0.93,2.86,4.7,10,852,0.93,4.7,100,95.1,10,0,100,2
gemini-1.5-flash,20,10,1.78,2.06,4.48,20,982.7,1.55,5.39,98,212.57,7,3,70,3
gpt-3.5-turbo,5,10,0.96,2.93,4.85,5,436.4,0.96,4.85,100,110,10,0,100,1
gpt-3.5-turbo,10,10,3.68,2.8,7.39,10,490.9,3.68,7.39,100,160.3,10,0,100,2
gpt-3.5-turbo,20,10,2.63,2.92,6.47,20,618.1,2.63,6.47,100,322,10,0,100,3
gpt-4,5,10,3.14,2.91,6.98,5,436,3.14,6.98,100,133.45,10,0,100,1
gpt-4,10,10,6.35,1.75,8.69,10,491.6,5.59,9.49,100,177.83,6,4,60,2
gpt-4,20,10,9.16,2.95,13.02,20,619.5,9.16,13.02,100,291.7,10,0,100,3
mistral-small,5,10,1.38,2.58,4.78,5,798.11,1.06,4.9,98,67.38,9,1,90,1
mistral-small,10,10,2.29,2.14,5.14,10,854.27,1.65,5.57,94,139.62,8,2,72.73,2
mistral-small,20,10,4.57,1.98,7.23,20,1009.5,4.24,7.95,100,384.43,7,3,70,3
TOTAL_PER_DATA_INTENSITY_5,5,40,1.67,2.83,5.41,5,608.12,1.61,5.45,98,91.44,39,1,97.5,1
TOTAL_PER_DATA_INTENSITY_10,10,40,3.29,2.38,6.45,10,676.63,2.73,6.54,99,139.35,34,7,82.93,2
TOTAL_PER_DATA_INTENSITY_20,20,40,4.54,2.48,7.8,20,807.45,4.66,8.48,100,303.41,34,6,85,3
TOTAL,,120,3.17,2.56,6.55,11.65,697.23,2.94,6.76,99,174.02,107,14,88.43,
