Model,Task difficulty,Total experiments,Succeeded experiments (%),Avg. model work time (ms),Avg. output correctness (%),Avg. prompt size (symbols),Avg. model output size (symbols)
gemini-1.5-flash,1,10,100,1.03,94,798.2,45.9
gemini-1.5-flash,2,10,100,0.93,100,852,95.1
gemini-1.5-flash,3,10,70,1.78,98,982.7,212.57
gpt-3.5-turbo,1,10,100,0.96,100,436.4,110
gpt-3.5-turbo,2,10,100,3.68,100,490.9,160.3
gpt-3.5-turbo,3,10,100,2.63,100,618.1,322
gpt-4,1,10,100,3.14,100,436,133.45
gpt-4,2,10,60,6.35,100,491.6,177.83
gpt-4,3,10,100,9.16,100,619.5,291.7
mistral-small,1,10,90,1.38,98,798.11,67.38
mistral-small,2,10,72.73,2.29,94,854.27,139.62
mistral-small,3,10,70,4.57,100,1009.5,384.43
TOTAL_PER_DATA_INTENSITY_5,1,10,97.5,1.63,98,617.18,89.18
TOTAL_PER_DATA_INTENSITY_10,2,10,83.18,3.31,98.5,672.19,143.21
TOTAL_PER_DATA_INTENSITY_20,3,10,85,4.54,99.5,807.45,302.68
TOTAL,2,10,88.56,3.16,98.67,698.94,178.36
