Time,Quantum_Factor,Maglev_levitation,AI_Machine_Learning,Digital_twins,5G,Quantum_Computing,Augmented_Reality,Virtual_Reality,3D_printing_at_scale,Blockchain,Self_driving_autonomous_vehicles
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.9999999999999998,0.20501080846980374,0.7949891915301961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,0.7065694482728564,0.2934305517271437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,0.8221273985756291,0.1778726014243709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,0.8374846921378932,0.1625153078621068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,0.2749177324137562,0.7250822675862438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.9999999999999999,0.08845465032138647,0.9115453496786134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,0.8659026528522983,0.13409734714770177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,0.07756109587690138,0.9224389041230986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.9999999999999999,0.6589238594713626,0.34107614052863733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,0.358195737101994,0.6418042628980061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,0.7400658366398577,0.128010418256468,0.13192374510367436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,0.03031961053104314,0.25229980022846926,0.7173805892404875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.59830100283627,0.12737537060826776,0.27432362655546233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.9999999999999998,0.22709651506918976,0.6964870899657158,0.07641639496509428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.9999999999999999,0.408662051676409,0.21950077371154444,0.37183717461204646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.9999999999999999,0.08040213078035323,0.5776419464138989,0.3419559228057478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.9999999999999999,0.3228454538195757,0.5458969027116827,0.13125764346874147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.0,0.26378159278294433,0.2573288848495174,0.47888952236753835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.0,0.1082770855459909,0.7843003643494474,0.10742255010456171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.9999999999999999,0.09306666539149334,0.5540844997471046,0.35284883486140195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.0,0.49809113715989445,0.3361969827852262,0.039519242937959456,0.1261926371169198,0.0,0.0,0.0,0.0,0.0,0.0
31,1.0,0.06271559271210045,0.007957766820688335,0.31722582852183406,0.6121008119453771,0.0,0.0,0.0,0.0,0.0,0.0
32,1.0,0.046198072662595784,0.4404764326560824,0.3155376622243363,0.19778783245698559,0.0,0.0,0.0,0.0,0.0,0.0
33,0.9999999999999999,0.10876790594914437,0.04182675079157113,0.6592178517815156,0.19018749147776884,0.0,0.0,0.0,0.0,0.0,0.0
34,0.9999999999999999,0.16835334012703088,0.5862239349484306,0.03774184249647802,0.20768088242806038,0.0,0.0,0.0,0.0,0.0,0.0
35,0.9999999999999999,0.17581056854999033,0.40903438662501634,0.04368141820043402,0.3714736266245592,0.0,0.0,0.0,0.0,0.0,0.0
36,0.9999999999999998,0.006976430705500997,0.23182691606029066,0.7262359725065389,0.03496068072766926,0.0,0.0,0.0,0.0,0.0,0.0
37,1.0,0.208676919990827,0.23474380090890953,0.232024286253973,0.32455499284629047,0.0,0.0,0.0,0.0,0.0,0.0
38,0.9999999999999999,0.07285641788572585,0.2792055588928724,0.6097791911743144,0.03815883204708727,0.0,0.0,0.0,0.0,0.0,0.0
39,0.9999999999999998,0.48789459984486494,0.10057901891889849,0.07069542070325129,0.34083096053298506,0.0,0.0,0.0,0.0,0.0,0.0
40,1.0,0.03659240612200217,0.6915048081927918,0.11728339927465686,0.07908573592765586,0.07553365048289337,0.0,0.0,0.0,0.0,0.0
41,0.9999999999999999,0.4234311952122978,0.13918729160568216,0.20021359864018945,0.09830273685415865,0.13886517768767181,0.0,0.0,0.0,0.0,0.0
42,0.9999999999999999,0.06473501581656846,0.026237556170443897,0.6555156378375778,0.02758043874644093,0.2259313514289688,0.0,0.0,0.0,0.0,0.0
43,1.0,0.012460798021791664,0.19757721640440654,0.03572718854285767,0.7158784390878247,0.03835635794311941,0.0,0.0,0.0,0.0,0.0
44,0.9999999999999999,0.2763784917365799,0.019079879466158123,0.16903883723276392,0.5261869084500268,0.009315883114471218,0.0,0.0,0.0,0.0,0.0
45,1.0,0.025776305080019688,0.06385349914406248,0.749860704247466,0.024157896404405032,0.1363515951240469,0.0,0.0,0.0,0.0,0.0
46,1.0,0.26155779478913654,0.3077498526008205,0.103488041830719,0.2175307497841477,0.10967356099517633,0.0,0.0,0.0,0.0,0.0
47,0.9999999999999999,0.08328690091276397,0.5657414957852126,0.08797920872545152,0.12125837162750434,0.14173402294906745,0.0,0.0,0.0,0.0,0.0
48,0.9999999999999999,0.03743345270056457,0.1469901977767227,0.060859388789868636,0.5990075069029233,0.15570945382992074,0.0,0.0,0.0,0.0,0.0
49,1.0,0.7470930660148981,0.023843415973142573,0.002714321231924634,0.14206085364126517,0.08428834313876955,0.0,0.0,0.0,0.0,0.0
50,0.9999999999999999,0.05617866176130133,0.07282203311590667,0.16656359716225846,0.04510972377043725,0.5165064799900217,0.1428195042000745,0.0,0.0,0.0,0.0
51,0.9999999999999999,0.3643688519971533,0.2787315281070674,0.15651327118012412,0.1470247175820575,0.03587266808088699,0.01748896305271052,0.0,0.0,0.0,0.0
52,1.0,0.6712680744483448,0.11727609562834306,0.13390687253367367,0.005785815107858475,0.0011539447036159175,0.07060919757816406,0.0,0.0,0.0,0.0
53,1.0,0.005767528321285519,0.02033676373457194,0.01699774095252438,0.5034417537443221,0.015614577978022771,0.43784163526927344,0.0,0.0,0.0,0.0
54,1.0,0.1581186090212025,0.08966062583480791,0.17868352086543468,0.0316963075450059,0.23952438839113754,0.30231654834241145,0.0,0.0,0.0,0.0
55,1.0,0.18111857277137233,0.05395971623455942,0.04605272974668898,0.2697438607461331,0.41177731991781635,0.03734780058342984,0.0,0.0,0.0,0.0
56,1.0,0.01482147809422987,0.02617407773387735,0.21834126759374173,0.16266774424417807,0.4892654668869351,0.08872996544703791,0.0,0.0,0.0,0.0
57,1.0,0.014080374345922074,0.02589779519142988,0.0696378295162578,0.3325584903848163,0.5295271063148427,0.028298404246731385,0.0,0.0,0.0,0.0
58,1.0,0.06316934752880896,0.07507759143030976,0.06554395557852397,0.045087822697734495,0.4857952586533741,0.26532602411124867,0.0,0.0,0.0,0.0
59,1.0,0.006876255571118909,0.06848847576861121,0.2514758093838391,0.04968787591681745,0.6016412054058814,0.021830377953731953,0.0,0.0,0.0,0.0
60,1.0,0.19338730722994757,0.10909587765897398,0.053895365781262417,0.3218445823982317,0.08958802568668646,0.13678137422226952,0.09540746702262845,0.0,0.0,0.0
61,1.0,0.1439978459258773,0.12389721991811974,0.14004721552582935,0.493109449072669,0.004475437780115995,0.014385377573694954,0.08008745420369365,0.0,0.0,0.0
62,0.9999999999999997,0.19141527327723915,0.04456530819998195,0.39644129605681055,0.04742066998305033,0.13425398453746087,0.10101454940839366,0.08488891853706325,0.0,0.0,0.0
63,0.9999999999999998,0.08483963661621424,0.0954193759918204,0.018642141800341298,0.14926302867233704,0.28092490783617863,0.09584452222219801,0.27506638686091023,0.0,0.0,0.0
64,1.0,0.013766071675025072,0.029063640795036195,0.25410305481791384,0.07420327447292606,0.02335206845972282,0.3634272063968392,0.24208468338253683,0.0,0.0,0.0
65,1.0,0.08123156551455701,0.37901644970514936,0.1299388222184769,0.2592538992209817,0.0016689563932275793,0.09530630509475124,0.05358400185285626,0.0,0.0,0.0
66,1.0,0.1707541519358596,0.13631765244218058,0.17508025547159067,0.008602346803318948,0.22287459839391432,0.056928098046976496,0.22944289690615938,0.0,0.0,0.0
67,1.0,0.21766017024594667,0.2179340990980824,0.12280864900558937,0.08810498322633471,0.08539559899822062,0.02321519904329112,0.24488130038253508,0.0,0.0,0.0
68,0.9999999999999999,0.018470629326703767,0.053238006410986485,0.07547037464112692,0.21161727397593277,0.0124044618425169,0.5702266321027686,0.058572621699964404,0.0,0.0,0.0
69,1.0,0.03065893584413571,0.05196610840230074,0.1842626024950776,0.12907520238610543,0.2010725028246976,0.024624862261338466,0.3783397857863446,0.0,0.0,0.0
70,1.0,0.24109161461217588,0.043469562302503734,0.10131486540686369,0.1369150264721745,0.004316102707816069,0.3802319847277676,0.0387386759054875,0.05392216786521106,0.0,0.0
71,1.0,0.022611052230792583,0.16002859114985551,0.09710679690374967,0.5151224291830412,0.008350558057072742,0.0804862023142536,0.11216118539357767,0.004133184767657081,0.0,0.0
72,1.0,0.05918639991626152,0.013603719529588942,0.0015758891871439406,0.1928859033731903,0.4615559588855414,0.16689038514561064,0.028836514171694277,0.07546522979096891,0.0,0.0
73,1.0,0.010562787526938,0.05437766310701373,0.062115259923052134,0.20767594766375078,0.3041983130548963,0.10558331100388094,0.08153649569035502,0.1739502220301131,0.0,0.0
74,0.9999999999999999,0.15418844747700874,0.24267867108583174,0.24269153382617473,0.014709187728170989,0.1108343422550906,0.09754153671383455,0.041358788208453706,0.0959974927054348,0.0,0.0
75,0.9999999999999999,0.07960932754162048,0.11594759207842198,0.41342559792794525,0.10668780320911063,0.15282503562429336,0.025225384549514784,0.04469927442264062,0.06157998464645287,0.0,0.0
76,1.0,0.041155906799494914,0.009772024015408496,0.2016120702464471,0.25217622660430017,0.14907177665836133,0.07018101918246819,0.21359119103238203,0.0624397854611378,0.0,0.0
77,0.9999999999999999,0.0812906885135172,0.08956861785396171,0.2109825418079279,0.11801922925580986,0.09212649289017304,0.0015271409702488,0.15873732075233138,0.24774796795603,0.0,0.0
78,1.0,0.00483856493602163,0.15713090493234919,0.02240400428603632,0.05917853500688859,0.11016843562023702,0.2322050509239485,0.04407950632148713,0.3699949979730316,0.0,0.0
79,1.0,0.08018860652511557,0.027901964925278272,0.237453065460572,0.31270598274009886,0.12278054435994981,0.056776623404244796,0.016244949079716697,0.145948263505024,0.0,0.0
80,0.9999999999999999,0.01242859310989762,0.07491422896477157,0.15403507845892594,0.12324680738590477,0.14882188306563196,0.14195258991936194,0.16686468118099518,0.0891026535280341,0.08863348438647678,0.0
81,0.9999999999999999,0.033857579085426574,0.05358866637325095,0.10692324466509605,0.06145711675341163,0.1607260577110336,0.02696242094588339,0.061180442783502875,0.04882722459058439,0.44647724709181047,0.0
82,1.0,0.0856891075339846,0.14926177170611363,0.14243606915226725,0.11008761488084147,0.03626405730301969,0.19243955932879417,0.09067536178396687,0.1470140311192255,0.04613242719178689,0.0
83,0.9999999999999999,0.12693469941499905,0.13482842477680826,0.2613704628622461,0.136213788047634,0.001162569985334971,0.03225284916414351,0.0028683595683836023,0.09952379591038142,0.20484505027006905,0.0
84,1.0,0.06300293237939103,0.023158656709443445,0.033129042646751185,0.07528172617059388,0.14529171365355875,0.20747177419750548,0.14147942859461757,0.13062631934791585,0.1805584063002229,0.0
85,1.0,0.14963283240247588,0.07795930911292197,0.05533382016076986,0.048159909976814665,0.16613273136961984,0.06716908637020434,0.12572883197547818,0.05944134089246645,0.25044213773924884,0.0
86,1.0,0.08804830714896257,0.06140968562232311,0.03399649083037559,0.0044004116871030965,0.052160260522389756,0.08383417814157218,0.11296301137941929,0.42652632418064423,0.1366613304872102,0.0
87,1.0,0.23328158571354252,0.3590246037136294,0.16871196983875297,0.006380047835322067,0.012111057853608241,0.12312169494645667,0.04009741995816801,0.046685629503949944,0.010585990636570196,0.0
