Time,Safety_Criterion,Risk_Score_Component_1,Risk_Score_Component_2,Risk_Score_Component_3,Risk_Score_Component_4,Risk_Score_Component_5
0,0.0,0.4322522970359619,0.24551912510018487,0.3752419190657835,0.7421488283444273,0.28576835088307284
1,0.614224252494097,0.40339665080136544,0.22871022520610257,0.3303537431125982,0.7256307231965791,0.24078739521286985
2,0.6389954110811827,0.39237375148041204,0.2054523240099054,0.30287148403773234,0.7059692579069166,0.19835612715912013
3,0.6743804122726326,0.36153623183374356,0.17267468515329423,0.27145425946181406,0.6643716617718779,0.15806110041610769
4,0.7034765662562116,0.34421455200088125,0.14578255967586864,0.24737663561258894,0.6226437055176683,0.12259971591193489
5,0.7375709475270423,0.29510642961367056,0.10112504284172197,0.22324608524748385,0.5831192515104755,0.10954845315143662
6,0.7727897994392374,0.25998964989186424,0.05802433622805371,0.19123452189262818,0.5589901626524267,0.06781233213883975
7,0.7993956148885161,0.23625676480390967,0.04241089547017962,0.17540287384130598,0.5219796476266423,0.026971743815382088
8,0.8224857072578796,0.1991562196914376,0.030452833257626613,0.14675860262790197,0.5112038081336359,0.0
9,0.8424577871162631,0.16048137990938788,0.015418718361753025,0.12470576133434991,0.48710520481319386,0.0
10,0.8639509398546124,0.13919359369153056,0.0,0.09951255079021978,0.44153915624518786,0.0
11,0.8767475625708003,0.11418182821192954,0.0,0.07359800329891163,0.4284823556351569,0.0
12,0.8914622453333214,0.0874294404613523,0.0,0.042184610130129,0.4130747227419118,0.0
13,0.9112560174273444,0.06380197613792732,0.0,0.0,0.37991793672535046,0.0
14,0.9262891173326326,0.03530770282959933,0.0,0.0,0.33324671050723775,0.0
15,0.9372875067805029,0.0,0.0,0.0,0.31356246609748545,0.0
16,0.942673229703383,0.0,0.0,0.0,0.28663385148308507,0.0
17,0.9497497142520162,0.0,0.0,0.0,0.25125142873991935,0.0
18,0.9570560221590929,0.0,0.0,0.0,0.21471988920453516,0.0
19,0.9645301453749333,0.0,0.0,0.0,0.17734927312533344,0.0
20,0.9723938225679455,0.0,0.0,0.0,0.1380308871602727,0.0
21,0.9806894003236581,0.0,0.0,0.0,0.09655299838170919,0.0
22,0.9876680935240497,0.0,0.0,0.0,0.06165953237975142,0.0
23,0.9968453104699627,0.0,0.0,0.0,0.015773447650186533,0.0
24,1.0,0.0,0.0,0.0,0.0,0.0
25,1.0,0.0,0.0,0.0,0.0,0.0
26,1.0,0.0,0.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0,0.0,0.0
28,1.0,0.0,0.0,0.0,0.0,0.0
29,1.0,0.0,0.0,0.0,0.0,0.0
30,1.0,0.0,0.0,0.0,0.0,0.0
31,1.0,0.0,0.0,0.0,0.0,0.0
32,1.0,0.0,0.0,0.0,0.0,0.0
33,1.0,0.0,0.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0,0.0,0.0
36,1.0,0.0,0.0,0.0,0.0,0.0
37,1.0,0.0,0.0,0.0,0.0,0.0
