TIME,RISK_SCORE,MIN_RISK_SCORE,MAX_RISK_SCORE
0,0.1111,0.2222,0.9999999
1,0.2222222,0.33333,0.444444
2,0.443420213,0.0205844943,0.9699098522
3,0.3471154687,0.1834045099,0.5247564316
4,0.3731846463,0.1394938607,0.6118528947
5,0.4275898327,0.04645041272,0.7851759614
6,0.5515276278,0.06505159299,0.9656320331
7,0.4670137503,0.09767211401,0.8083973481
8,0.36394081,0.03438852112,0.9093204021
9,0.4451732233,0.1848544555,0.6625222844
10,0.8353887444,0.5978999788,0.9695846278
11,0.3153814438,0.04522728891,0.921874235
12,0.4252903334,0.2713490318,0.8287375092
13,0.5094509738,0.07455064368,0.9868869366
14,0.4997602681,0.005522117124,0.8154614285
15,0.4097313909,0.07404465173,0.7712703467
16,0.4383680499,0.06355835029,0.8631034259
17,0.6103549279,0.325183322,0.8872127426
18,0.5851736919,0.1195942459,0.77096718
19,0.3154759996,0.02541912674,0.5227328294
20,0.4796665486,0.03142918569,0.9075664739
21,0.3442008732,0.07697990983,0.7555511385
22,0.5644389057,0.1612212873,0.9296976523
23,0.6587207933,0.1865700589,0.8925589985
24,0.4719044034,0.1100519245,0.8960912999
25,0.5247105142,0.006952130531,0.8607305833
26,0.4079818113,0.1198653673,0.9429097039
27,0.5760848396,0.323202932,0.9717820827
28,0.4594393802,0.2517822958,0.9624472949
29,0.295851104,0.03688694735,0.609564334
30,0.5535651726,0.1448948721,0.9856504541
31,0.5283328654,0.237637544,0.7616196153
32,0.4519366256,0.09028977005,0.6335297108
33,0.3948538311,0.04077514155,0.8353024956
34,0.4155827629,0.01658782893,0.6775643618
35,0.4652580893,0.1375209441,0.9367299887
36,0.5029028943,0.1134735212,0.9246936183
37,0.5607819854,0.2418522909,0.8172222002
38,0.5725735662,0.09310276781,0.9004180572
39,0.7278474967,0.3492095746,0.89711026
40,0.4785567147,0.084139965,0.8985541885
41,0.1880079998,0.005061583846,0.6635017691
42,0.5658077555,0.2242693095,0.7121792213
43,0.5615993001,0.2372490875,0.8492234105
44,0.3905028868,0.09367476783,0.6576128923
45,0.6266566208,0.2439896434,0.9730105548
46,0.5124225926,0.1952429878,0.7948113035
47,0.3700246839,0.02431596643,0.7224521153
48,0.6389733737,0.01545661653,0.953928577
49,0.8279573925,0.4281841483,0.966654819
50,0.4034196088,0.1694927467,0.8511366715
51,0.5712446994,0.09717649377,0.9361547742
52,0.6281695633,0.1400840152,0.9900538501
53,0.5586702876,0.2935918443,0.7407686178
54,0.782225964,0.5113423989,0.9132405526
55,0.6895069902,0.5015162947,0.798295179
56,0.4551691064,0.09398193984,0.8900053418
57,0.3843118879,0.0359422738,0.5908332606
58,0.2755400307,0.03050024994,0.8226005607
59,0.4432591563,0.08534746499,0.7699935531
60,0.4974385419,0.05168172117,0.7260913337
61,0.5762254693,0.2708322513,0.9758520795
62,0.4682814161,0.02535074342,0.9626484147
63,0.3369802823,0.1564370427,0.6959742061
64,0.6317638283,0.2799338969,0.9548652807
65,0.5142605535,0.2477309895,0.7378969167
66,0.2580575121,0.01439348863,0.7578461105
67,0.4343710471,0.04072880232,0.855460584
68,0.3941291799,0.1732018699,0.4916158751
69,0.4593440578,0.04530400977,0.6350936509
70,0.4503645812,0.0705687474,0.8564898412
71,0.5540821179,0.02651131054,0.9402302414
72,0.5953585266,0.3881699262,0.9414648088
73,0.5035592558,0.06936130088,0.9611905638
74,0.1935276419,0.01822182565,0.6830067734
75,0.4566892269,0.02327193574,0.844875311
76,0.6112775794,0.1181648276,0.8774720135
77,0.5640809075,0.1774395438,0.8068347393
78,0.5784714811,0.3408035403,0.990505142
79,0.7447156093,0.4289940274,0.9307573256
80,0.531487243,0.1031238688,0.9025529067
81,0.4584462424,0.01083765148,0.9053819764
82,0.6850515704,0.3193136376,0.9506071469
83,0.4990427649,0.2932107717,0.7523745294
84,0.4448764709,0.05755876002,0.7915790437
85,0.4693491191,0.1170670164,0.8877041828
86,0.3415899719,0.08410680611,0.7615106317
87,0.476636641,0.07276300636,0.8218600593
88,0.5258379605,0.08483771409,0.9866395785
89,0.6292776257,0.0835007167,0.9860010638
90,0.5554650085,0.1111974823,0.9063543851
91,0.2295521166,0.01135364477,0.4926251043
92,0.6116645483,0.1175262468,0.9621725485
93,0.5432000344,0.2235958385,0.9632225394
94,0.4888074872,0.01215447469,0.9698788267
95,0.622603205,0.07379656474,0.9929647961
96,0.5983121568,0.4545410648,0.695748689
97,0.6136485697,0.04544638034,0.9504114841
98,0.4009980196,0.1881211597,0.6201325978
99,0.5950697058,0.07773463696,0.9862107445
0,0.5623850983,0.1560186404,0.9507143064
1,0.4778883736,0.05808361217,0.8661761458
2,0.443420213,0.0205844943,0.9699098522
3,0.3471154687,0.1834045099,0.5247564316
4,0.3731846463,0.1394938607,0.6118528947
5,0.4275898327,0.04645041272,0.7851759614
6,0.5515276278,0.06505159299,0.9656320331
7,0.4670137503,0.09767211401,0.8083973481
8,0.36394081,0.03438852112,0.9093204021
9,0.4451732233,0.1848544555,0.6625222844
10,0.8353887444,0.5978999788,0.9695846278
11,0.3153814438,0.04522728891,0.921874235
12,0.4252903334,0.2713490318,0.8287375092
13,0.5094509738,0.07455064368,0.9868869366
14,0.4997602681,0.005522117124,0.8154614285
15,0.4097313909,0.07404465173,0.7712703467
16,0.4383680499,0.06355835029,0.8631034259
17,0.6103549279,0.325183322,0.8872127426
18,0.5851736919,0.1195942459,0.77096718
19,0.3154759996,0.02541912674,0.5227328294
20,0.4796665486,0.03142918569,0.9075664739
21,0.3442008732,0.07697990983,0.7555511385
22,0.5644389057,0.1612212873,0.9296976523
23,0.6587207933,0.1865700589,0.8925589985
24,0.4719044034,0.1100519245,0.8960912999
25,0.5247105142,0.006952130531,0.8607305833
26,0.4079818113,0.1198653673,0.9429097039
27,0.5760848396,0.323202932,0.9717820827
28,0.4594393802,0.2517822958,0.9624472949
29,0.295851104,0.03688694735,0.609564334
30,0.5535651726,0.1448948721,0.9856504541
31,0.5283328654,0.237637544,0.7616196153
32,0.4519366256,0.09028977005,0.6335297108
33,0.3948538311,0.04077514155,0.8353024956
34,0.4155827629,0.01658782893,0.6775643618
35,0.4652580893,0.1375209441,0.9367299887
36,0.5029028943,0.1134735212,0.9246936183
37,0.5607819854,0.2418522909,0.8172222002
38,0.5725735662,0.09310276781,0.9004180572
39,0.7278474967,0.3492095746,0.89711026
40,0.4785567147,0.084139965,0.8985541885
41,0.1880079998,0.005061583846,0.6635017691
42,0.5658077555,0.2242693095,0.7121792213
43,0.5615993001,0.2372490875,0.8492234105
44,0.3905028868,0.09367476783,0.6576128923
45,0.6266566208,0.2439896434,0.9730105548
46,0.5124225926,0.1952429878,0.7948113035
47,0.3700246839,0.02431596643,0.7224521153
48,0.6389733737,0.01545661653,0.953928577
49,0.8279573925,0.4281841483,0.966654819
50,0.4034196088,0.1694927467,0.8511366715
51,0.5712446994,0.09717649377,0.9361547742
52,0.6281695633,0.1400840152,0.9900538501
53,0.5586702876,0.2935918443,0.7407686178
54,0.782225964,0.5113423989,0.9132405526
55,0.6895069902,0.5015162947,0.798295179
56,0.4551691064,0.09398193984,0.8900053418
57,0.3843118879,0.0359422738,0.5908332606
58,0.2755400307,0.03050024994,0.8226005607
59,0.4432591563,0.08534746499,0.7699935531
60,0.4974385419,0.05168172117,0.7260913337
61,0.5762254693,0.2708322513,0.9758520795
62,0.4682814161,0.02535074342,0.9626484147
63,0.3369802823,0.1564370427,0.6959742061
64,0.6317638283,0.2799338969,0.9548652807
65,0.5142605535,0.2477309895,0.7378969167
66,0.2580575121,0.01439348863,0.7578461105
67,0.4343710471,0.04072880232,0.855460584
68,0.3941291799,0.1732018699,0.4916158751
69,0.4593440578,0.04530400977,0.6350936509
70,0.4503645812,0.0705687474,0.8564898412
71,0.5540821179,0.02651131054,0.9402302414
72,0.5953585266,0.3881699262,0.9414648088
73,0.5035592558,0.06936130088,0.9611905638
74,0.1935276419,0.01822182565,0.6830067734
75,0.4566892269,0.02327193574,0.844875311
76,0.6112775794,0.1181648276,0.8774720135
77,0.5640809075,0.1774395438,0.8068347393
78,0.5784714811,0.3408035403,0.990505142
