,TIME,ENERGY_CONSUMED,DISTANCE,LOAD_WEIGHT,CO2_EMISSIONS,MATERIAL_SUSTAINABILITY,ENV_IMPACT_SCORE,POSITIVE_FEEDBACK,NEGATIVE_FEEDBACK,CURRENT_TRL,TARGET_TRL,ENG_CHALLENGES_RESOLVED,TARGET_ENG_CHALLENGES,RISK_SCORE,MIN_RISK_SCORE,MAX_RISK_SCORE,ETHICAL_COMPLIANCE,LEGAL_COMPLIANCE,LAND_USAGE_COMPLIANCE,INT_LAW_COMPLIANCE,TRL_COMPLIANCE,MAGLEV_LEVITATION,AMBIENT_INTELLIGENCE,GENERATIVE_AI,AI_MACHINE_LEARNING,DIGITAL_TWINS,FIVE_G,QUANTUM_COMPUTING,AUGMENTED_REALITY,VIRTUAL_REALITY,PRINTING_AT_SCALE,BLOCKCHAIN,SELF_DRIVING_AUTONOMOUS_VEHICLES,TOTAL_DISRUPTIVE_TECH,REVENUE,OPEX,CAPEX,DISCOUNT_RATE,PROJECT_LIFETIME,PRODUCTION_OUTPUT,USER_EXP_RATIO,ACCESSIBILITY_AGEING,DURABILITY,DIGITAL_RELIABILITY,WEATHER_DISASTER_RESILIENCE,POLLUTION_PRODUCED,COMMON_INFRA_FEATURES,CONSTRUCTION_BARRIERS,INTERMODAL_CONNECTIONS,INFRA_ADAPTABILITY_FEATURES,RESOURCE_MILEAGE,PLANNED_VOLUME,ADJUSTMENT_COEF_1,ADJUSTMENT_COEF_2,ADJUSTMENT_COEF_3
0,0,100,20,8000,75,0.8,0.7,100,100,9,9,10,5,0.9,0.3,0.9,0.91,0.88,0.87,0.86,0.7,false,false,true,true,true,true,true,true,true,true,true,true,10,200000,6000,5400000,0.055,600,0.93,0.93,0.8,0.92,0.93,0.91,0.7,0.95,0.5,0.91,0.92,0.93,0.93,0.91,0.92,0.7
1,1,99.747,19.97,7984.848,74.848,0.799,0.699,99.798,100.202,8.98,8.99,9.98,5.02,0.898,0.3,0.9,0.909,0.879,0.869,0.859,0.699,true,true,false,true,false,true,false,true,true,true,true,false,8,199898.99,6001.515,5400000,0.055,600,0.927,0.927,0.797,0.917,0.926,0.908,0.706,0.947,0.507,0.905,0.918,0.926,0.927,0.908,0.915,0.697
2,2,99.495,19.939,7969.697,74.697,0.797,0.698,99.596,100.404,8.96,8.98,9.96,5.04,0.896,0.3,0.9,0.908,0.879,0.868,0.858,0.699,true,true,true,false,false,false,true,true,true,false,true,true,8,199797.98,6003.03,5400000,0.055,600,0.923,0.923,0.794,0.914,0.921,0.906,0.712,0.944,0.514,0.9,0.917,0.921,0.923,0.906,0.911,0.694
3,3,99.242,19.909,7954.545,74.545,0.796,0.697,99.394,100.606,8.939,8.97,9.939,5.061,0.894,0.3,0.9,0.907,0.878,0.867,0.857,0.698,true,true,true,true,true,false,true,true,false,true,true,true,10,199696.97,6004.545,5400000,0.055,600,0.92,0.92,0.791,0.91,0.917,0.904,0.718,0.941,0.521,0.895,0.915,0.917,0.92,0.904,0.906,0.69
4,4,98.99,19.879,7939.394,74.394,0.795,0.696,99.192,100.808,8.919,8.96,9.919,5.081,0.892,0.3,0.9,0.906,0.877,0.866,0.856,0.698,false,true,true,true,false,true,true,false,false,true,true,true,8,199595.96,6006.061,5400000,0.055,600,0.917,0.917,0.788,0.907,0.913,0.902,0.724,0.938,0.528,0.889,0.913,0.913,0.917,0.902,0.901,0.687
5,5,98.737,19.848,7924.242,74.242,0.793,0.695,98.99,101.01,8.899,8.949,9.899,5.101,0.89,0.3,0.9,0.905,0.876,0.865,0.855,0.697,false,true,false,true,true,true,true,true,true,false,true,true,9,199494.949,6007.576,5400000,0.055,600,0.913,0.913,0.785,0.904,0.908,0.899,0.73,0.935,0.535,0.884,0.911,0.908,0.913,0.899,0.896,0.684
6,6,98.485,19.818,7909.091,74.091,0.792,0.695,98.788,101.212,8.879,8.939,9.879,5.121,0.888,0.3,0.9,0.905,0.876,0.864,0.854,0.697,true,true,false,true,true,true,true,true,true,false,true,true,10,199393.939,6009.091,5400000,0.055,600,0.91,0.91,0.782,0.901,0.904,0.897,0.736,0.932,0.542,0.879,0.91,0.904,0.91,0.897,0.892,0.681
7,7,98.232,19.788,7893.939,73.939,0.791,0.694,98.586,101.414,8.859,8.929,9.859,5.141,0.886,0.3,0.9,0.904,0.875,0.863,0.853,0.696,true,true,true,true,true,true,false,true,false,true,true,true,10,199292.929,6010.606,5400000,0.055,600,0.907,0.907,0.779,0.897,0.9,0.895,0.742,0.929,0.549,0.874,0.908,0.9,0.907,0.895,0.887,0.677
8,8,97.98,19.758,7878.788,73.788,0.789,0.693,98.384,101.616,8.838,8.919,9.838,5.162,0.884,0.3,0.9,0.903,0.874,0.862,0.852,0.696,true,false,true,true,true,true,false,false,false,true,true,true,8,199191.919,6012.121,5400000,0.055,600,0.903,0.903,0.776,0.894,0.895,0.893,0.748,0.926,0.557,0.869,0.906,0.895,0.903,0.893,0.882,0.674
9,9,97.727,19.727,7863.636,73.636,0.788,0.692,98.182,101.818,8.818,8.909,9.818,5.182,0.882,0.3,0.9,0.902,0.874,0.861,0.851,0.695,true,true,true,true,true,true,false,true,true,false,false,false,8,199090.909,6013.636,5400000,0.055,600,0.9,0.9,0.773,0.891,0.891,0.891,0.755,0.923,0.564,0.864,0.905,0.891,0.9,0.891,0.877,0.671
10,10,97.475,19.697,7848.485,73.485,0.787,0.691,97.98,102.02,8.798,8.899,9.798,5.202,0.88,0.3,0.9,0.901,0.873,0.86,0.85,0.695,true,true,true,true,true,false,true,true,true,false,false,true,9,198989.899,6015.152,5400000,0.056,600,0.897,0.897,0.77,0.888,0.887,0.889,0.761,0.92,0.571,0.858,0.903,0.887,0.897,0.889,0.873,0.668
11,11,97.222,19.667,7833.333,73.333,0.786,0.69,97.778,102.222,8.778,8.889,9.778,5.222,0.878,0.3,0.9,0.9,0.872,0.859,0.849,0.694,true,true,true,true,false,true,false,false,true,true,true,true,9,198888.889,6016.667,5400000,0.056,600,0.893,0.893,0.767,0.884,0.882,0.887,0.767,0.917,0.578,0.853,0.901,0.882,0.893,0.887,0.868,0.664
12,12,96.97,19.636,7818.182,73.182,0.784,0.689,97.576,102.424,8.758,8.879,9.758,5.242,0.876,0.3,0.9,0.899,0.872,0.858,0.848,0.694,true,true,true,true,true,true,true,true,true,false,true,false,10,198787.879,6018.182,5400000,0.056,600,0.89,0.89,0.764,0.881,0.878,0.885,0.773,0.914,0.585,0.848,0.899,0.878,0.89,0.885,0.863,0.661
13,13,96.717,19.606,7803.03,73.03,0.783,0.688,97.374,102.626,8.737,8.869,9.737,5.263,0.874,0.3,0.9,0.898,0.871,0.857,0.847,0.693,true,true,true,true,true,false,false,false,true,true,true,true,9,198686.869,6019.697,5400000,0.056,600,0.887,0.887,0.761,0.878,0.874,0.882,0.779,0.911,0.592,0.843,0.898,0.874,0.887,0.882,0.858,0.658
14,14,96.465,19.576,7787.879,72.879,0.782,0.687,97.172,102.828,8.717,8.859,9.717,5.283,0.872,0.3,0.9,0.897,0.87,0.856,0.846,0.693,true,false,true,true,true,true,true,true,true,true,true,false,10,198585.859,6021.212,5400000,0.056,600,0.883,0.883,0.758,0.875,0.869,0.88,0.785,0.908,0.599,0.838,0.896,0.869,0.883,0.88,0.854,0.655
15,15,96.212,19.545,7772.727,72.727,0.78,0.686,96.97,103.03,8.697,8.848,9.697,5.303,0.87,0.3,0.9,0.896,0.869,0.855,0.845,0.692,true,true,false,true,true,true,true,true,true,true,false,true,10,198484.848,6022.727,5400000,0.056,600,0.88,0.88,0.755,0.872,0.865,0.878,0.791,0.905,0.606,0.833,0.894,0.865,0.88,0.878,0.849,0.652
16,16,95.96,19.515,7757.576,72.576,0.779,0.685,96.768,103.232,8.677,8.838,9.677,5.323,0.868,0.3,0.9,0.895,0.869,0.854,0.844,0.692,true,true,true,true,true,true,false,true,true,false,true,true,10,198383.838,6024.242,5400000,0.056,600,0.877,0.877,0.752,0.868,0.861,0.876,0.797,0.902,0.613,0.828,0.893,0.861,0.877,0.876,0.844,0.648
17,17,95.707,19.485,7742.424,72.424,0.778,0.685,96.566,103.434,8.657,8.828,9.657,5.343,0.866,0.3,0.9,0.895,0.868,0.853,0.843,0.691,true,true,true,false,true,true,true,true,true,true,true,false,10,198282.828,6025.758,5400000,0.056,600,0.873,0.873,0.748,0.865,0.856,0.874,0.803,0.898,0.62,0.822,0.891,0.856,0.873,0.874,0.839,0.645
18,18,95.455,19.455,7727.273,72.273,0.776,0.684,96.364,103.636,8.636,8.818,9.636,5.364,0.864,0.3,0.9,0.894,0.867,0.852,0.842,0.691,true,false,false,true,true,false,true,true,true,false,true,true,8,198181.818,6027.273,5400000,0.056,600,0.87,0.87,0.745,0.862,0.852,0.872,0.809,0.895,0.627,0.817,0.889,0.852,0.87,0.872,0.835,0.642
19,19,95.202,19.424,7712.121,72.121,0.775,0.683,96.162,103.838,8.616,8.808,9.616,5.384,0.862,0.3,0.9,0.893,0.867,0.851,0.841,0.69,true,true,false,true,true,true,false,true,true,false,false,true,8,198080.808,6028.788,5400000,0.056,600,0.867,0.867,0.742,0.859,0.847,0.87,0.815,0.892,0.634,0.812,0.887,0.847,0.867,0.87,0.83,0.639
20,20,94.949,19.394,7696.97,71.97,0.774,0.682,95.96,104.04,8.596,8.798,9.596,5.404,0.86,0.3,0.9,0.892,0.866,0.85,0.84,0.69,false,true,false,true,true,true,false,true,true,true,true,true,9,197979.798,6030.303,5400000,0.056,600,0.863,0.863,0.739,0.855,0.843,0.868,0.821,0.889,0.641,0.807,0.886,0.843,0.863,0.868,0.825,0.635
21,21,94.697,19.364,7681.818,71.818,0.772,0.681,95.758,104.242,8.576,8.788,9.576,5.424,0.858,0.3,0.9,0.891,0.865,0.849,0.839,0.689,true,true,true,true,false,true,true,true,true,true,true,false,10,197878.788,6031.818,5400000,0.056,600,0.86,0.86,0.736,0.852,0.839,0.865,0.827,0.886,0.648,0.802,0.884,0.839,0.86,0.865,0.82,0.632
22,22,94.444,19.333,7666.667,71.667,0.771,0.68,95.556,104.444,8.556,8.778,9.556,5.444,0.856,0.3,0.9,0.89,0.864,0.848,0.838,0.689,true,true,true,true,false,true,true,true,true,false,true,false,9,197777.778,6033.333,5400000,0.056,600,0.857,0.857,0.733,0.849,0.834,0.863,0.833,0.883,0.656,0.797,0.882,0.834,0.857,0.863,0.816,0.629
23,23,94.192,19.303,7651.515,71.515,0.77,0.679,95.354,104.646,8.535,8.768,9.535,5.465,0.854,0.3,0.9,0.889,0.864,0.847,0.837,0.688,false,true,true,true,false,true,true,true,true,true,false,true,9,197676.768,6034.848,5400000,0.056,600,0.853,0.853,0.73,0.846,0.83,0.861,0.839,0.88,0.663,0.792,0.881,0.83,0.853,0.861,0.811,0.626
24,24,93.939,19.273,7636.364,71.364,0.768,0.678,95.152,104.848,8.515,8.758,9.515,5.485,0.852,0.3,0.9,0.888,0.863,0.846,0.836,0.688,false,true,true,false,true,true,true,true,true,true,false,true,9,197575.758,6036.364,5400000,0.056,600,0.85,0.85,0.727,0.842,0.826,0.859,0.845,0.877,0.67,0.786,0.879,0.826,0.85,0.859,0.806,0.622
25,25,93.687,19.242,7621.212,71.212,0.767,0.677,94.949,105.051,8.495,8.747,9.495,5.505,0.849,0.3,0.9,0.887,0.862,0.845,0.835,0.687,false,true,true,true,true,true,true,true,false,true,true,false,9,197474.747,6037.879,5400000,0.056,600,0.847,0.847,0.724,0.839,0.821,0.857,0.852,0.874,0.677,0.781,0.877,0.821,0.847,0.857,0.801,0.619
26,26,93.434,19.212,7606.061,71.061,0.766,0.676,94.747,105.253,8.475,8.737,9.475,5.525,0.847,0.3,0.9,0.886,0.862,0.844,0.834,0.687,true,true,true,false,true,false,true,true,false,true,true,false,8,197373.737,6039.394,5400000,0.056,600,0.843,0.843,0.721,0.836,0.817,0.855,0.858,0.871,0.684,0.776,0.875,0.817,0.843,0.855,0.797,0.616
27,27,93.182,19.182,7590.909,70.909,0.765,0.675,94.545,105.455,8.455,8.727,9.455,5.545,0.845,0.3,0.9,0.885,0.861,0.843,0.833,0.686,true,false,true,true,false,true,true,true,true,true,false,true,9,197272.727,6040.909,5400000,0.056,600,0.84,0.84,0.718,0.833,0.813,0.853,0.864,0.868,0.691,0.771,0.874,0.813,0.84,0.853,0.792,0.613
28,28,92.929,19.152,7575.758,70.758,0.763,0.675,94.343,105.657,8.434,8.717,9.434,5.566,0.843,0.3,0.9,0.885,0.86,0.842,0.832,0.686,false,true,true,true,true,true,true,true,true,false,false,true,9,197171.717,6042.424,5400000,0.056,600,0.837,0.837,0.715,0.829,0.808,0.851,0.87,0.865,0.698,0.766,0.872,0.808,0.837,0.851,0.787,0.609
29,29,92.677,19.121,7560.606,70.606,0.762,0.674,94.141,105.859,8.414,8.707,9.414,5.586,0.841,0.3,0.9,0.884,0.859,0.841,0.831,0.685,true,false,true,false,true,true,true,true,true,true,true,true,10,197070.707,6043.939,5400000,0.056,600,0.833,0.833,0.712,0.826,0.804,0.848,0.876,0.862,0.705,0.761,0.87,0.804,0.833,0.848,0.782,0.606
30,30,92.424,19.091,7545.455,70.455,0.761,0.673,93.939,106.061,8.394,8.697,9.394,5.606,0.839,0.3,0.9,0.883,0.859,0.84,0.83,0.685,false,true,true,true,false,true,false,true,true,true,false,true,8,196969.697,6045.455,5400000,0.057,600,0.83,0.83,0.709,0.823,0.8,0.846,0.882,0.859,0.712,0.755,0.868,0.8,0.83,0.846,0.778,0.603
31,31,92.172,19.061,7530.303,70.303,0.759,0.672,93.737,106.263,8.374,8.687,9.374,5.626,0.837,0.3,0.9,0.882,0.858,0.839,0.829,0.684,true,true,true,false,true,false,true,false,false,true,true,true,8,196868.687,6046.97,5400000,0.057,600,0.827,0.827,0.706,0.82,0.795,0.844,0.888,0.856,0.719,0.75,0.867,0.795,0.827,0.844,0.773,0.6
32,32,91.919,19.03,7515.152,70.152,0.758,0.671,93.535,106.465,8.354,8.677,9.354,5.646,0.835,0.3,0.9,0.881,0.857,0.838,0.828,0.684,true,true,true,true,true,true,true,true,true,false,false,true,10,196767.677,6048.485,5400000,0.057,600,0.823,0.823,0.703,0.817,0.791,0.842,0.894,0.853,0.726,0.745,0.865,0.791,0.823,0.842,0.768,0.597
