,TIME,ENERGY_CONSUMED,DISTANCE,LOAD_WEIGHT,CO2_EMISSIONS,MATERIAL_SUSTAINABILITY,ENV_IMPACT_SCORE,POSITIVE_FEEDBACK,NEGATIVE_FEEDBACK,CURRENT_TRL,TARGET_TRL,ENG_CHALLENGES_RESOLVED,TARGET_ENG_CHALLENGES,RISK_SCORE,MIN_RISK_SCORE,MAX_RISK_SCORE,ETHICAL_COMPLIANCE,LEGAL_COMPLIANCE,LAND_USAGE_COMPLIANCE,INT_LAW_COMPLIANCE,TRL_COMPLIANCE,MAGLEV_LEVITATION,AMBIENT_INTELLIGENCE,GENERATIVE_AI,AI_MACHINE_LEARNING,DIGITAL_TWINS,FIVE_G,QUANTUM_COMPUTING,AUGMENTED_REALITY,VIRTUAL_REALITY,PRINTING_AT_SCALE,BLOCKCHAIN,SELF_DRIVING_AUTONOMOUS_VEHICLES,TOTAL_DISRUPTIVE_TECH,REVENUE,OPEX,CAPEX,DISCOUNT_RATE,PROJECT_LIFETIME,PRODUCTION_OUTPUT,USER_EXP_RATIO,ACCESSIBILITY_AGEING,DURABILITY,DIGITAL_RELIABILITY,WEATHER_DISASTER_RESILIENCE,POLLUTION_PRODUCED,COMMON_INFRA_FEATURES,CONSTRUCTION_BARRIERS,INTERMODAL_CONNECTIONS,INFRA_ADAPTABILITY_FEATURES,RESOURCE_MILEAGE,PLANNED_VOLUME,ADJUSTMENT_COEF_1,ADJUSTMENT_COEF_2,ADJUSTMENT_COEF_3
0,0,35,300,15000,50,0.8,0.75,100,210,6,7,8,17,0.65,0.3,0.9,0.65,0.5,0.75,0.65,0.7,true,false,true,false,true,false,true,true,true,true,true,true,9,350000,300000,1200000,0.06,480,0.4,0.5,0.56,0.4,0.35,0.8,0.6,0.4,0.6,0.4,0.2,0.3,0.2,0.45,0.45,0.45
1,1,34.798,302.525,15040.404,49.697,0.801,0.752,100.051,208.96,6.02,7.02,8.051,16.97,0.653,0.3,0.9,0.653,0.504,0.752,0.653,0.702,true,true,true,true,true,true,true,true,true,true,true,false,11,350050.505,299949.495,1200000,0.06,480,0.406,0.505,0.564,0.403,0.354,0.801,0.597,0.401,0.598,0.404,0.205,0.305,0.206,0.453,0.453,0.453
2,2,34.596,305.051,15080.808,49.394,0.802,0.754,100.101,207.919,6.04,7.04,8.101,16.939,0.656,0.3,0.9,0.656,0.509,0.755,0.656,0.704,true,true,true,true,true,false,true,true,true,false,false,true,9,350101.01,299898.99,1200000,0.06,480,0.411,0.509,0.568,0.406,0.358,0.801,0.594,0.402,0.596,0.407,0.209,0.309,0.211,0.456,0.456,0.456
3,3,34.394,307.576,15121.212,49.091,0.803,0.756,100.152,206.879,6.061,7.061,8.152,16.909,0.659,0.3,0.9,0.659,0.513,0.757,0.659,0.706,false,false,true,true,true,false,true,true,true,true,false,false,7,350151.515,299848.485,1200000,0.06,480,0.417,0.514,0.572,0.409,0.362,0.802,0.591,0.403,0.594,0.411,0.214,0.314,0.217,0.459,0.459,0.459
4,4,34.192,310.101,15161.616,48.788,0.804,0.758,100.202,205.838,6.081,7.081,8.202,16.879,0.662,0.3,0.9,0.662,0.517,0.759,0.662,0.708,true,true,false,true,false,true,true,true,true,true,true,true,10,350202.02,299797.98,1200000,0.06,480,0.422,0.518,0.576,0.412,0.366,0.802,0.588,0.404,0.592,0.414,0.218,0.318,0.222,0.462,0.462,0.462
5,5,33.99,312.626,15202.02,48.485,0.805,0.76,100.253,204.798,6.101,7.101,8.253,16.848,0.665,0.3,0.9,0.665,0.522,0.762,0.665,0.71,false,true,false,true,true,false,false,false,false,true,true,true,6,350252.525,299747.475,1200000,0.06,480,0.428,0.523,0.58,0.415,0.37,0.803,0.585,0.405,0.59,0.418,0.223,0.323,0.228,0.465,0.465,0.465
6,6,33.788,315.152,15242.424,48.182,0.806,0.762,100.303,203.758,6.121,7.121,8.303,16.818,0.668,0.3,0.9,0.668,0.526,0.764,0.668,0.712,true,true,true,true,true,true,true,false,true,true,true,true,11,350303.03,299696.97,1200000,0.06,480,0.433,0.527,0.584,0.418,0.374,0.803,0.582,0.406,0.588,0.421,0.227,0.327,0.233,0.468,0.468,0.468
7,7,33.586,317.677,15282.828,47.879,0.807,0.764,100.354,202.717,6.141,7.141,8.354,16.788,0.671,0.3,0.9,0.671,0.53,0.766,0.671,0.714,true,false,false,true,true,true,true,true,true,true,true,true,10,350353.535,299646.465,1200000,0.06,480,0.439,0.532,0.588,0.421,0.378,0.804,0.579,0.407,0.586,0.425,0.232,0.332,0.239,0.471,0.471,0.471
8,8,33.384,320.202,15323.232,47.576,0.808,0.766,100.404,201.677,6.162,7.162,8.404,16.758,0.674,0.3,0.9,0.674,0.535,0.769,0.673,0.716,true,true,false,true,true,true,true,true,true,true,true,false,10,350404.04,299595.96,1200000,0.06,480,0.444,0.536,0.592,0.424,0.382,0.804,0.576,0.408,0.584,0.428,0.236,0.336,0.244,0.474,0.474,0.474
9,9,33.182,322.727,15363.636,47.273,0.809,0.768,100.455,200.636,6.182,7.182,8.455,16.727,0.677,0.3,0.9,0.677,0.539,0.771,0.676,0.718,true,true,true,true,true,true,true,false,true,true,true,true,11,350454.545,299545.455,1200000,0.06,480,0.45,0.541,0.595,0.427,0.386,0.805,0.573,0.409,0.582,0.432,0.241,0.341,0.25,0.477,0.477,0.477
