,TIME,CR_ENV,CR_SAC,CR_TFE,CR_SFY,CR_REG,CR_QMF,CR_ECV,CR_USB,CR_RLB,CR_INF,CR_SCL
0,0,0.41001764705882354,0.5999999995555556,0.6515837104072398,0.41666597222337964,0.624,0.8333333333333334,0.6349206349206339,0.7066666666666667,0.7175,0.5900000000000001,0.5814312650060102
1,1,0.4105175723428338,0.6007642741579015,0.6529873937532531,0.41833263611227317,0.6246,0.8333333333333334,0.6353053968253962,0.7076666666666666,0.7174999999999999,0.5905,0.5812530399215738
2,2,0.4107674977704408,0.6015255369744001,0.6543935088691133,0.4199993000011667,0.625,0.75,0.6356902857142849,0.7083333333333334,0.7174999999999999,0.59075,0.5812530399215738
3,3,0.41151742331611385,0.6022891299515031,0.6558020610949102,0.4216659638900602,0.6256,0.8333333333333334,0.636075047619047,0.7093333333333334,0.7175,0.59125,0.5815985888433722
4,4,0.4117673490340892,0.6030497060281449,0.657213055787617,0.4233326277789537,0.6260000000000001,0.8333333333333334,0.6364598095238088,0.71,0.7175,0.5915,0.5815985888433722
5,5,0.41226727489876813,0.603812618295009,0.6587501434667563,0.4249992916678472,0.6266,0.75,0.6368446984126975,0.711,0.7175,0.5922499999999999,0.5814179413478453
6,6,0.41251720090575705,0.6045725085570431,0.6601662639334557,0.42666595555674075,0.6266,0.75,0.6372294603174596,0.7116666666666666,0.71725,0.5925,0.5814179413478453
7,7,0.4130171270587708,0.6053347410270343,0.6615848435637971,0.4283326194456343,0.6276,0.8333333333333334,0.6376142222222208,0.7126666666666667,0.7175,0.593,0.5812361649011322
8,8,0.4135170533242878,0.60609394639805,0.663005887784586,0.4299992833345278,0.6276,0.75,0.637998984126983,0.7133333333333334,0.7172500000000002,0.59325,0.5817605034054124
9,9,0.4140169797643532,0.606855499982899,0.6644294020398429,0.43166594722342133,0.6286,0.75,0.6383838730158724,0.7143333333333333,0.7175,0.59375,0.5815774341665638
10,10,0.4142669063286345,0.6076140213848296,0.6659381067463723,0.43333261111231486,0.6286,0.75,0.6387686349206336,0.715,0.7172499999999999,0.594,0.5815774341665638
11,11,0.4147668330544966,0.6083748969946359,0.6673667034675917,0.43499927500120833,0.6292000000000001,0.8333333333333334,0.6391533968253953,0.7159999999999999,0.71725,0.5945,0.5813932372685756
12,12,0.41526675992272377,0.6091327353477624,0.6687977868114677,0.43666593889010186,0.6296,0.8333333333333334,0.6395382857142842,0.7166666666666667,0.71725,0.59475,0.5813932372685756
13,13,0.41576668690202434,0.6098929338909981,0.6702313622919459,0.4383326027789952,0.6302000000000001,0.75,0.639923047619048,0.7176666666666667,0.71725,0.59525,0.5817315162931254
14,14,0.4160166140540506,0.6106500901139527,0.6716674354405214,0.43999926666788874,0.6306,0.75,0.6403078095238078,0.7183333333333333,0.71725,0.5954999999999999,0.5817315162931254
15,15,0.41651654134554245,0.6114096124974658,0.6732319629359473,0.44166593055678227,0.6312,0.75,0.6406926984126967,0.7193333333333333,0.7172499999999999,0.59625,0.581544899524527
16,16,0.4167664687800493,0.6121660875072359,0.6746732781708026,0.44333259444567574,0.6312,0.75,0.6410774603174589,0.7200000000000001,0.7170000000000001,0.5965,0.581544899524527
17,17,0.4175163963533992,0.612924934636254,0.6760380487841874,0.44499925833456927,0.6322000000000001,0.75,0.641462222222221,0.721,0.7172499999999999,0.597,0.5813571574832135
18,18,0.4177663240402365,0.6136807293481856,0.6774842581010285,0.4466659222234628,0.6322000000000001,0.8333333333333334,0.6418469841269829,0.7216666666666667,0.717,0.5972500000000001,0.5818801855425594
19,19,0.4182662518941962,0.6144389021263198,0.6789329933573008,0.4483325861123563,0.6332000000000001,0.8333333333333334,0.6422318730158714,0.7226666666666667,0.7170000000000001,0.59775,0.581691149428279
20,20,0.4185161798898568,0.6151940174541214,0.6803842601925065,0.44999925000124985,0.6332000000000001,0.75,0.6426166349206345,0.7233333333333333,0.7170000000000001,0.598,0.581691149428279
21,21,0.4190161080231254,0.6159515167833693,0.6818380642641828,0.4516659138901434,0.6338,0.8333333333333334,0.6430013968253956,0.7243333333333334,0.717,0.5985,0.5815009892551718
