,TIME,ENERGY_CONSUMED,DISTANCE,LOAD_WEIGHT,CO2_EMISSIONS,MATERIAL_SUSTAINABILITY,ENV_IMPACT_SCORE,POSITIVE_FEEDBACK,NEGATIVE_FEEDBACK,CURRENT_TRL,TARGET_TRL,ENG_CHALLENGES_RESOLVED,TARGET_ENG_CHALLENGES,RISK_SCORE,MIN_RISK_SCORE,MAX_RISK_SCORE,ETHICAL_COMPLIANCE,LEGAL_COMPLIANCE,LAND_USAGE_COMPLIANCE,INT_LAW_COMPLIANCE,TRL_COMPLIANCE,MAGLEV_LEVITATION,AMBIENT_INTELLIGENCE,GENERATIVE_AI,AI_MACHINE_LEARNING,DIGITAL_TWINS,FIVE_G,QUANTUM_COMPUTING,AUGMENTED_REALITY,VIRTUAL_REALITY,PRINTING_AT_SCALE,BLOCKCHAIN,SELF_DRIVING_AUTONOMOUS_VEHICLES,TOTAL_DISRUPTIVE_TECH,REVENUE,OPEX,CAPEX,DISCOUNT_RATE,PROJECT_LIFETIME,PRODUCTION_OUTPUT,USER_EXP_RATIO,ACCESSIBILITY_AGEING,DURABILITY,DIGITAL_RELIABILITY,WEATHER_DISASTER_RESILIENCE,POLLUTION_PRODUCED,COMMON_INFRA_FEATURES,CONSTRUCTION_BARRIERS,INTERMODAL_CONNECTIONS,INFRA_ADAPTABILITY_FEATURES,RESOURCE_MILEAGE,PLANNED_VOLUME,ADJUSTMENT_COEF_1,ADJUSTMENT_COEF_2,ADJUSTMENT_COEF_3
0,0,100,1000,8500,500,0.81,0.83,135,90,8,8.5,9,13,0.55,0.3,0.9,0.65,0.55,0.7,0.6,0.62,true,false,true,true,true,true,true,true,true,true,false,true,10,40000,30000,225000,0.07,700,0.7,0.82,0.6,0.9,0.8,0.62,0.55,0.3,0.55,0.71,0.8,0.78,0.8,0.75,0.7,0.6
1,1,100.101,1000.505,8504.545,497.98,0.811,0.831,135.202,89.848,8.005,8.503,9.01,12.99,0.551,0.3,0.9,0.651,0.551,0.7,0.601,0.62,true,true,true,true,false,true,true,false,true,true,true,true,10,40003.03,29996.97,225000,0.07,700,0.701,0.821,0.601,0.901,0.801,0.619,0.549,0.301,0.549,0.71,0.802,0.78,0.799,0.749,0.7,0.601
2,2,100.202,1001.01,8509.091,495.96,0.811,0.832,135.404,89.697,8.01,8.506,9.02,12.98,0.552,0.3,0.9,0.651,0.551,0.701,0.601,0.621,true,false,true,true,false,true,true,true,true,false,true,true,9,40006.061,29993.939,225000,0.07,700,0.702,0.821,0.602,0.901,0.801,0.619,0.549,0.302,0.548,0.71,0.803,0.78,0.799,0.749,0.7,0.601
3,3,100.303,1001.515,8513.636,493.939,0.812,0.834,135.606,89.545,8.015,8.509,9.03,12.97,0.553,0.3,0.9,0.652,0.552,0.701,0.602,0.621,true,true,true,true,true,false,true,true,false,true,true,true,10,40009.091,29990.909,225000,0.07,700,0.703,0.822,0.603,0.902,0.802,0.618,0.548,0.303,0.547,0.71,0.805,0.781,0.798,0.748,0.701,0.602
4,4,100.404,1002.02,8518.182,491.919,0.812,0.835,135.808,89.394,8.02,8.512,9.04,12.96,0.554,0.3,0.9,0.652,0.552,0.702,0.602,0.622,true,false,true,true,false,true,true,true,true,true,true,true,10,40012.121,29987.879,225000,0.07,700,0.704,0.822,0.604,0.902,0.802,0.618,0.548,0.304,0.546,0.71,0.806,0.781,0.798,0.748,0.701,0.602
5,5,100.505,1002.525,8522.727,489.899,0.813,0.836,136.01,89.242,8.025,8.515,9.051,12.949,0.555,0.3,0.9,0.653,0.553,0.702,0.603,0.622,true,true,true,true,true,true,true,true,true,false,false,false,9,40015.152,29984.848,225000,0.07,700,0.705,0.823,0.605,0.903,0.803,0.617,0.547,0.305,0.545,0.711,0.808,0.781,0.797,0.747,0.701,0.603
6,6,100.606,1003.03,8527.273,487.879,0.813,0.837,136.212,89.091,8.03,8.518,9.061,12.939,0.556,0.3,0.9,0.653,0.553,0.702,0.603,0.622,false,true,true,true,false,true,true,true,true,false,true,true,9,40018.182,29981.818,225000,0.07,700,0.706,0.823,0.606,0.903,0.803,0.616,0.547,0.306,0.544,0.711,0.809,0.781,0.797,0.747,0.701,0.603
7,7,100.707,1003.535,8531.818,485.859,0.814,0.838,136.414,88.939,8.035,8.521,9.071,12.929,0.557,0.3,0.9,0.654,0.554,0.703,0.604,0.623,true,true,true,true,false,true,true,false,true,true,true,true,10,40021.212,29978.788,225000,0.07,700,0.707,0.824,0.607,0.904,0.804,0.616,0.546,0.307,0.543,0.711,0.811,0.781,0.796,0.746,0.701,0.604
8,8,100.808,1004.04,8536.364,483.838,0.814,0.84,136.616,88.788,8.04,8.524,9.081,12.919,0.558,0.3,0.9,0.654,0.554,0.703,0.604,0.623,true,false,false,true,true,true,false,true,true,true,true,true,9,40024.242,29975.758,225000,0.07,700,0.708,0.824,0.608,0.904,0.804,0.615,0.546,0.308,0.542,0.711,0.812,0.782,0.796,0.746,0.702,0.604
9,9,100.909,1004.545,8540.909,481.818,0.815,0.841,136.818,88.636,8.045,8.527,9.091,12.909,0.559,0.3,0.9,0.655,0.555,0.704,0.605,0.624,true,true,true,false,false,true,true,false,true,true,true,true,9,40027.273,29972.727,225000,0.07,700,0.709,0.825,0.609,0.905,0.805,0.615,0.545,0.309,0.541,0.711,0.814,0.782,0.795,0.745,0.702,0.605
